,title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time,sentences,phrases,score,asp_word,det_word
1242,"Previously a Vancouver favourite, but pay parking has taken over",,"This was a go-to family favourite in Vancouver: great place to bring kids for lunch and a stop by Kids Only Market and a regular shopping place for fresh produce and some specialty groceries (Duso's, Oyama etc). With free parking we'd often drop by after work on a whim to grab bread from Terra or pick up dinner to-go from a stall. It was often busy, but with so many people coming in and out I never failed to get a parking spot without much of a wait (at most maybe 3-5 minutes; even at the weekend I can't say I ever left for lack of parking). Went today to find pay parking had been put in place everywhere (cash grab?). I would normally grab a coffee with friends and then browse for groceries and maybe some new spices or things to try, but it was hard to estimate how much time I'd need and waiting in line at the vendors just drove home that I was paying for the privilege of being in line.I guess I'll come back for special occasion shopping (although there's no way I'm paying for parking during the December queues at Oyama; too bad, it was great food), but won't be stopping by to pick up Terra or a papaya salad just because I'm in the neighbourhood anymore, and will definitely replace it as a coffee spot with friends with somewhere free to park. It's a nightmare to take public transit to the market from my house, particularly while carrying groceries, so I think I just won't be coming like I used to :(Huge disappointment. If the parking was first hour free to encourage locals to keep using it as a place to grocery shop or for a quick coffee or meal with friends it would be reasonable, but I'll be heading to my local coffee shop, grocery store & summer farmer's market instead.","June 6, 2019",0,0,,2.0,2021-06-18 11:37:24.034582,2021-06-18 11:37:24.113557,"It's a nightmare to take public transit to the market from my house, particularly while carrying groceries, so I think I just won't be coming like I used to :","It's a nightmare to take public transit to the market from my house, particularly while carrying groceries",-0.9999184608459473,housing,house
1271,Visited with family,,Great little neighborhood on the water with lots of food options and the local market. Was a nice place to spend the afternoon.,"June 4, 2019",0,0,,4.0,2021-06-18 11:38:06.073826,2021-06-18 11:38:06.153869,Great little neighborhood on the water with lots of food options and the local market.,Great little neighborhood,0.9935672879219055,housing,neighborhood
1300,Interesting place to visit,,"Interesting place to visit, with many quaint shops and a indoor farmers market where many different things were sold, including fruits, fresh seafood etc. Seems pretty difficult to reach by public transport from Vancouver downtown. However, note that there is actually a small round ferry (price is quite affordable too) that can transport one from Vancouver downtown to Granville island, so that is one possible mode of transport to consider.","May 31, 2019",0,0,,4.0,2021-06-18 11:38:48.987430,2021-06-18 11:38:49.081163,"However, note that there is actually a small round ferry (price is quite affordable too) that can transport one from Vancouver downtown to Granville island, so that is one possible mode of transport to consider.","note that there is actually a small round ferry (price is quite affordable too) that can transport one from Vancouver downtown to Granville island, so that is one possible mode of transport to consider",0.7430939078330994,housing,affordable
1312,"Granville Island shopping, views & meals.",,"We went over on the Ferry, Which was very affordable, after visiting the Olympic Cauldron. With teenagers, along with adults. Great views, Really interesting shopping, homemade items, items from many countries, tourist items, many different kinds of food (which we enjoyed also). Really worth the visit.","May 30, 2019",0,0,,5.0,2021-06-18 11:39:06.146172,2021-06-18 11:39:06.228079,"We went over on the Ferry, Which was very affordable, after visiting the Olympic Cauldron.","went over on the Ferry, Which was very affordable, after visiting the Olympic Cauldron",0.9822174906730652,housing,affordable
1450,Not an island but still a fun-land,,"Food choices plus boats and the waters. Add families and friends and visitors. This is the essence of Granville Island, one of the iconic stops in Vancouver. Correction: it's actually a peninsula despite its name. To reach there, a public transportation option from downtown Vancouver (Gastown) is Bus #50. Get off from the stop at the intersection of Anderson St. and West 2nd Ave. Walk from here until you spot the enormous ""Granville Island"" sign. You'll start seeing boats, shops, studios, restaurants and the like but you can go further. Then there's the Public Market, a one-story expanse of a building which, upon entering, houses booths selling baked goodies, seafood offerings, veggies and fruits, juice and drink mixes and other local produce. People, locals and outsiders, mill around so expect the atmosphere reminiscent of a country fair. Prices for the varied products are in the affordable range and will not make you cautious unlike that at a fine dining outlet. Then, go to the sea side area where there are seats or wide ledges with a view of the marine vessels passing through False Creek. Just across the other side are high-rise structures serving as backdrop. A short distance from where you are will be the docking area for the ferryboats to transport passengers to the other side. Be ready during peak times for the multitude, all age range represented, enjoying the site. It's not necessarily distracting nor excessively chaotic. More like a carnival atmosphere or a weekend park scene. Hanker down among the seating spaces, savor the scene and let time pass by. Touristy, yes. Enjoyable, yeah!","May 3, 2019",0,0,,5.0,2021-06-18 11:42:39.810584,2021-06-18 11:42:39.902173,Prices for the varied products are in the affordable range and will not make you cautious unlike that at a fine dining outlet.,are in the affordable range and will not make you cautious unlike that at a fine dining outlet,0.99957674741745,housing,affordable
1493,Fantastic Place to spend your day,,"There is an amazing amount of things to do on Granville Island from the kids focused shops and activities to the artisans blowing glass sculptures. Fantastic art supply stores, unique materials and fabrics. Awesome market to stroll and pick up everything from fresh fruit to house made pastas and sauces right through to delectable desserts.","April 15, 2019",0,0,,5.0,2021-06-18 11:43:39.452896,2021-06-18 11:43:39.530119,Awesome market to stroll and pick up everything from fresh fruit to house made pastas and sauces right through to delectable desserts.,to stroll and pick up everything from fresh fruit to house made pastas and sauces right through to delectable desserts,0.9983009696006775,housing,house
1617,Something for Everyone,,"Granville island is a wonderful place to visit because it seems to have offerings for all ages and for every conceivable taste. The public market, the little boutiques, the restaurants and bars, a children's fun house and toy shops, an excellent wine shop, the art galleries, jewelry and accessories, clothing -- you name it, Granville Island's got it. A trip to Vancouver without a visit to Granville Island is unthinkable.","March 5, 2019",0,0,,5.0,2021-06-18 11:46:42.649102,2021-06-18 11:46:42.726016,"The public market, the little boutiques, the restaurants and bars, a children's fun house and toy shops, an excellent wine shop, the art galleries, jewelry and accessories, clothing -- you name it,",a children's fun house and toy shops,0.998776376247406,housing,house
1658,Great place to spend a few hours,,"This is a great place to take in the craft and arts scene, grocery shop for fresh fruits, vegetables, seafood, meats, you name it! Even stop for a beverage at a craft distillery. I recommend you park off the island in public parking on the street in the neighborhood.","February 12, 2019",0,0,,4.0,2021-06-18 11:47:37.637887,2021-06-18 11:47:37.714454,I recommend you park off the island in public parking on the street in the neighborhood.,recommend you park off the island in public parking on the street in the neighborhood,-0.7696274518966675,housing,neighborhood
1866,Unique shops and restaurants,,"This is a must see while in Vancouver. Granville Island is full of unique shops and restaurants, as well as breweries and theatres.My favourite is the Public Market. It is like a farmer's market, except that the merchants are there 365 days a year and it is open from 9am to 7pm everyday. It is indoors, so weather does not affect it. I also love the large number of artists selling their crafts there as well as the many unique shops. You could easily spend the entire afternoon there. When you get hungry, there are a lot of restaurants to choose from.Do not miss this neighbourhood when visiting Vancouver.","November 14, 2018",0,0,,4.0,2021-06-18 11:52:51.443617,2021-06-18 11:52:51.524945,Do not miss this neighbourhood when visiting Vancouver.,Do not miss this neighbourhood when visiting Vancouver,0.993910551071167,housing,neighbourhood
1914,Vancouver Artists' Village,,"Granville Island is a lively little peninsula famous for its picturesque marina and public market, performance arts theaters and art galleries, seafood restaurants, coffee shops and breweries. This morning I discovered that it is also a creative space for a community of artists. I was amazed to find out that Martina Kocmanova, one of my favorite baristas in Off The Tracks cafe, is a professional artist who creates her art in the metal shop next door and presents it -- together with other artists -- in the neighborhood studios. Good luck to all of them!","November 5, 2018",0,0,,5.0,2021-06-18 11:54:07.059115,2021-06-18 11:54:07.136077,"I was amazed to find out that Martina Kocmanova, one of my favorite baristas in Off The Tracks cafe, is a professional artist who creates her art in the metal shop next door and presents it -- together with other artists -- in the neighborhood studios.","was amazed to find out that Martina Kocmanova, one of my favorite baristas in Off The Tracks cafe, is a professional artist who creates her art in the metal shop next door and presents it -- together with other artists -- in the neighborhood studios",0.9998854398727417,housing,neighborhood
2028,Good to look around but very pricey and very busy!,,"We went to Granville island for a look and it was every thing you'd imagine for somewhere geared to tourists. Very busy and very pricey! My top tip if you are going there to eat is to leave the market and head south following the bridge that runs above the road. When you see Starbucks turn right and go into the ""Cornerstop Cafe"" we had the best pannins we have ever had, the best lemon slice meringue bar I have ever tasted and all the cakes are baked by the owner fresh every morning. Prices were fair, the food was amazing and the young lad who owns it was worth going to meet just for the chat! He offered us coffees on the house, we could sit down in comfort unlike the market and we had a full meal with drinks and dessert for a third if the price. Being British and not used to tipping culture this was the first time we genuinely thought it was worth it and they young lad didn't expect it.Again, Leave the market heading South following the bridge. See Starbucks and head towards it then turn right and its in the car park behind it. Trust me it is worth the 100 yard walkfrom the market!","October 9, 2018",0,0,,3.0,2021-06-18 11:56:59.866873,2021-06-18 11:56:59.943938,"He offered us coffees on the house, we could sit down in comfort unlike the market and we had a full meal with drinks and dessert for a third if the price.",He offered us coffees on the house,0.9986124038696289,housing,house
2116,Packed on Sunday,,"Public Market was so busy and packed, difficult to find a seating. If you like t9 taste a lot of food, this is the nice place, but for me this is the mad house.","October 1, 2018",0,0,,3.0,2021-06-18 11:59:13.099099,2021-06-18 11:59:13.175486,"If you like t9 taste a lot of food, this is the nice place, but for me this is the mad house.",for me this is the mad house,-0.9937453269958496,housing,house
2166,A charming oasis in the middle of Vancouver,,"We had the good fortune of being taken to this quaint and charming section of Vancouver by a native whose playground while growing up was exactly in this neighborhood. Of course, things have changed a bit since then, but probably for the better. We had breakfast while enjoying the harbor and then visited a floating neighborhood and several arts and crafts gift shops. The perspective from under a bridge gives you a wonderful, lasting impression of a beautiful, cosmopolitan city. Easy walking and delightful.","September 24, 2018",0,0,,5.0,2021-06-18 12:00:25.591697,2021-06-18 12:00:25.668595,We had the good fortune of being taken to this quaint and charming section of Vancouver by a native whose playground while growing up was exactly in this neighborhood.,had the good fortune of being taken to this quaint and charming section of Vancouver by a native whose playground while growing up was exactly in this neighborhood,0.9992873072624207,housing,neighborhood
2166,A charming oasis in the middle of Vancouver,,"We had the good fortune of being taken to this quaint and charming section of Vancouver by a native whose playground while growing up was exactly in this neighborhood. Of course, things have changed a bit since then, but probably for the better. We had breakfast while enjoying the harbor and then visited a floating neighborhood and several arts and crafts gift shops. The perspective from under a bridge gives you a wonderful, lasting impression of a beautiful, cosmopolitan city. Easy walking and delightful.","September 24, 2018",0,0,,5.0,2021-06-18 12:00:25.591697,2021-06-18 12:00:25.668595,We had breakfast while enjoying the harbor and then visited a floating neighborhood and several arts and crafts gift shops.,had breakfast while enjoying the harbor and then visited a floating neighborhood and several arts and crafts gift shops,0.995315670967102,housing,neighborhood
2382,Leave lots of room for eating!,,"Fabulous market; yummy food; crafts; restaurants, shops and a really energetic vibe. Beautiful views. Check out the marina and house boats at the east end of the Island. Walk the sea wall at the south side of the Island - a quiet oasis.","August 30, 2018",0,0,,5.0,2021-06-18 12:06:02.141675,2021-06-18 12:06:02.219007,Check out the marina and house boats at the east end of the Island.,Check out the marina and house boats at the east end of the Island,0.9005017876625061,housing,house
2452,"Fantastic must visit place, Vancouver",,"Fantastic place you must visit in Vancouver. Free parking, hence very difficult to find parking there. In near future the government want to turn it into no parking area, might be predestrian only area. Plenty arts & crafts here. Lots of street entertainers around. The colourful ""giants"", the painted / animated concrete tanks & the giant working mechanic model of the concrete works are must photographed. The indoor market is interesting. Lots of unseen exotic fruits/vegetables from all over the world are on sale in the ""green"" section of the market. The Granville tea stall, the seafood stall, the healthy nuts & food stall, the special ice cream stalls, etc. Are very interesting. Outside, the sailing boats & the two old bridges spanning overhead on the left & right are marvellous sights. You can also take photos of the astonishing tall buildings on both shores. The newest amazing building is the twisting apartment building.","August 24, 2018",0,0,,5.0,2021-06-18 12:07:42.622727,2021-06-18 12:07:42.704120,The newest amazing building is the twisting apartment building.,is the twisting apartment building,0.9992419481277466,housing,apartment
2473,Granville island Market - awesome,,This market is great for tourist but also great for locals picking up fresh produce for dinner!! it is a function market for the neighbourhood and I love it!Casual breakfast by shopping in the market and then heading out onto the deck to find a table. Alternatively some nice restaurants on the island.,"August 22, 2018",0,0,,5.0,2021-06-18 12:08:11.988332,2021-06-18 12:08:12.063751,it is a function market for the neighbourhood,is a function market for the neighbourhood,0.9788060784339905,housing,neighbourhood
2533,Great lunch but crowded,,"Seems like a ""must see"" for tourists and so we went mostly to have lunch. Took the False Creek ferry -- very easy and affordable. Ate lunch at Bridges and was surprised at how good the food was. Walked the public market--very very crowded and kinda annoying but cool if u like that sort of thing (glad we had lunch at Bridges instead of fighting the crowds in the market). Brought our kids to the Kids Market and they enjoyed that but we were ready to get out of there to explore.","August 15, 2018",0,0,,4.0,2021-06-18 12:09:52.201167,2021-06-18 12:09:52.279295,Took the False Creek ferry -- very easy and affordable.,Took the False Creek ferry -- very easy and affordable,0.997870922088623,housing,affordable
2535,Nice place,,Neat to see with many markets and a kids store. Nice place for a walk and lunch!! Parking was easy and affordable!!,"August 15, 2018",0,0,,3.0,2021-06-18 12:09:52.356539,2021-06-18 12:09:52.438951,Parking was easy and affordable!!,was easy and affordable,0.9994326233863831,housing,affordable
2632,Fun for all ages,,"We live in the neighbourhood and never tire of Granville Island. Something for everyone...food, entertainment or just to wander around.","August 6, 2018",0,0,,4.0,2021-06-18 12:12:15.234069,2021-06-18 12:12:15.313843,We live in the neighbourhood and never tire of Granville Island.,live in the neighbourhood and never tire of Granville Island,0.998528003692627,housing,neighbourhood
2694,Went for market shopping while on vacation in Vancouver,,"We went there using Aquabus, a great way to go there without having to worry about parking. We were renting an apartment for few days near by and found great food at the market. I recommend going there early as it gets crowded quickly during the summer","July 31, 2018",0,0,,5.0,2021-06-18 12:13:41.098920,2021-06-18 12:13:41.175956,We were renting an apartment for few days near by and found great food at the market.,were renting an apartment for few days near by and found great food at the market,0.9964943528175354,housing,apartment
2798,A great place to just walk around all day,,"I started by walking along the sea, picking out my ideal apartment and yacht! Loads of interesting independent shops to look around and restaurants and bars to stop for local beer, wine and seafood.","July 21, 2018",0,0,,5.0,2021-06-18 12:16:03.453135,2021-06-18 12:16:03.530218,"I started by walking along the sea, picking out my ideal apartment and yacht!","started by walking along the sea, picking out my ideal apartment and yacht",0.9995582699775696,housing,apartment
2902,A Vancouver highlight,,"Check out the Pacific Institute of culinary arts for a very reasonable lunch and dinner and support the next generation of chefs. The wine flights are a must have pairing with the three course meal. In the Granville Island market, Oyama meats is the place to get your meats and cheeses for sure. It may seem like a bit of a mad house but take a number, it's worth it. Their duck confit is to die for. There is so much to do there! When it's all done take the sea bus back up into the city. It's a great way to finish the day.","July 10, 2018",0,0,,5.0,2021-06-18 12:18:45.406739,2021-06-18 12:18:45.482200,"It may seem like a bit of a mad house but take a number, it's worth it.",It may seem like a bit of a mad house,0.9998231530189514,housing,house
2964,Take lots of pictures,,"Very rejuvinated trendy neighbourhood setting bustling with people, lots of stores, cafes and restaurants. An art district with just about everything you can imagine we just followed the crowd as going any other way was like swimming upstream.At the south end of the Granville Street bridge, parking was a bit of an issue we had to keep circling until we found something suitable. Despite the rain the area was packed with shoppers and tourists. It was fun but didnt buy anything as very expensive.","July 9, 2018",0,0,,5.0,2021-06-18 12:20:07.928168,2021-06-18 12:20:08.004431,"Very rejuvinated trendy neighbourhood setting bustling with people, lots of stores, cafes and restaurants.",Very rejuvinated trendy neighbourhood setting,0.9976504445075989,housing,neighbourhood
3007,Nothing special,,"Granville island is nothing special. A lot of different food offers but very expensive. Crowded of course. Good view from outside but nothing much.My to go choice is always the German Hot Dog, which is good and pretty affordable!","July 4, 2018",0,0,,2.0,2021-06-18 12:21:06.165554,2021-06-18 12:21:06.242702,"My to go choice is always the German Hot Dog, which is good and pretty affordable!","is always the German Hot Dog, which is good and pretty affordable",0.999794065952301,housing,affordable
3291,"Lots To See, Great Market To Shop With A Marina Atmosphere",,"A good place to shop for veggies, fruits & meats if you're staying in a BNB or condo. A nice place to buy something to eat, sit on a bench and watch the boats & yachts coming and going on a warm day. Many unique shops & variety of restaurants. The original train tracks run through this area and an enjoyable place to watch people and listen to live music....","May 30, 2018",0,0,,5.0,2021-06-18 12:27:12.504011,2021-06-18 12:27:12.584749,"A good place to shop for veggies, fruits & meats if you're staying in a BNB or condo.",if you're staying in a BNB or condo,0.9950290322303772,housing,condo
3429,"Worth a visit if you want to eat, shop or catch a cute water taxi",,"Granville Island has great shops, food vendors and local tour options. What it lacks is a lot of parking--so try to catch one of the ferries/water taxis or (if you aren't afraid of traffic or heights) walk along the Granville bridge for breathtaking views.Lunchtime is a mob scene, but it's quite easy to pick up your meal and either eat outside or catch a boat to one of the parks next to the water.I saw a lot of great craft shops offering interesting gifts. And I could easily have done grocery shopping for a few days at a rental apartment.","May 3, 2018",0,0,,5.0,2021-06-18 12:29:37.965308,2021-06-18 12:29:38.044799,And I could easily have done grocery shopping for a few days at a rental apartment.,could easily have done grocery shopping for a few days at a rental apartment,-0.9990399479866028,housing,apartment
3453,Quirky neighbourhood portraying a different perspective to Vancouver,,"My husband and I decided to walk from Yale town, over the bridge to Granville Island. The walk over the bridge was ok. Views from bridge pretty good but lots of heavy traffic and a slightly longer walk than we anticipated. Once we realised we were on Granville Island (helped by the great big welcome sign underneath the bridge) you come to a colourful quirky neighbourhood with a lot to offer. There is a brewery on the island which, although we did not go on a tour, we did buy some local beer from which was very nice, and an undercover shopping centre dedicated to children's shops. There is also a large inside traditional market with stalls selling everything from fruit and veg to arts and crafts and with many cafes and stalls to buy food. The harbour side is bustling with various water buses taking both locals and tourists to various stops around the harbour at a reasonable price. We personally took the ferry from Granville island to Vancouver museum which was a lovely 20 or so minute trip through the harbour. Overall we spent about 2 hours strolling around the island, having lunch and taking in the views. Well worth a visit if you have the time.","April 26, 2018",0,0,,4.0,2021-06-18 12:30:08.633062,2021-06-18 12:30:08.713266,you come to a colourful quirky neighbourhood with a lot to offer.,come to a colourful quirky neighbourhood with a lot to offer,0.9987467527389526,housing,neighbourhood
3464,Great place to spend a good few hours.,,Huge food choices. Fantastic lunch at the seafood takeaway. Beers at a brew house followed. Street performers scattered around. Great atmosphere.,"April 22, 2018",0,0,,5.0,2021-06-18 12:30:17.845668,2021-06-18 12:30:17.934651,Beers at a brew house followed.,Beers at a brew house,-0.9885367155075073,housing,house
3606,Nice but over rated,,"Nice place and there are other places that are just as nice and more affordable. Worth sitting along the wall of the pier and people watch, listen to the buskers or have your beverage. There are some nice places to lunch. It's suitable for tourist who don't mind spending for the sake of buying a souvenir. Lots of shops in the market and prices are high.","March 5, 2018",0,0,,3.0,2021-06-18 12:32:56.437387,2021-06-18 12:32:56.536489,Nice place and there are other places that are just as nice and more affordable.,there are other places that are just as nice and more affordable,0.6823984980583191,housing,affordable
3623,Half a day is good,,An interesting place to visit. It would be great if you lived or had a condo rented as there is lots of great food in the market to buy. Visit the Granville Island Brewing Co and take the tour. 2-3 hours is all we felt we needed to walk around,"February 28, 2018",0,0,,4.0,2021-06-18 12:33:16.804401,2021-06-18 12:33:16.885552,It would be great if you lived or had a condo rented as there is lots of great food in the market to buy.,would be great if you lived or had a condo rented as there is lots of great food in the market to buy,0.5371516346931458,housing,condo
3761,Fun thing to do and people watch,,"First, please realize that we went two days before Christmas. I believe a lot of people were probably at the market buying fresh meats/cheese, etc. It was Soooo crowded! I'm used to Pike Place market and a few crowds but this was insane. So after wandering around the market a little, we headed to the children's market. We expected it to be more child friendly (not just shops to buy things for kids). When I hear child market I think cheap trinkets that kids can choose to buy or crafts. We ended up paying the appx. $10 to let our daughter go in the ball pit structure. After five minutes, she came up crying and not wanting in there. The man behind the counter let her out and offered us coins at the arcade. I would have preferred our money back but it ended up cheering her up so good call on his part.The highlight of the trip was the fish and chips house across from the child market. Yummmm!","January 3, 2018",0,0,,3.0,2021-06-18 12:35:54.664137,2021-06-18 12:35:54.742806,The highlight of the trip was the fish and chips house across from the child market.,was the fish and chips house across from the child market,0.958825945854187,housing,house
3915,"Scenic view, very nice!",,"We visited Granville Island in November 2016. Very interesting mix of eclectic shops and restaurants. Highlights: Liberty Distillery- rustic decor, inspiring in-house distilled whisky. Specialty coffee on the pier, watching the sailboats and people passing by. Beautiful place.","November 7, 2017",0,0,,4.0,2021-06-18 12:38:32.092101,2021-06-18 12:38:32.174248,"Liberty Distillery- rustic decor, inspiring in-house distilled whisky.","rustic decor, inspiring in-house distilled whisky",0.9992939233779907,housing,house
4097,Stroll around the docks,,"Pretty cool area , had fun in the brew house. The market is a treat with fantastic produce and quite keenly priced. There is also the opportunity to get ripped off with Vancouver pricing but overall I'd say worth the stroll down. Maybe hop on the aquabus and for $6 you essentially get a tour of the harbour.","October 2, 2017",0,0,,4.0,2021-06-18 12:41:51.205527,2021-06-18 12:41:51.289716,"Pretty cool area , had fun in the brew house.",had fun in the brew house,0.9877737164497375,housing,house
4178,"Crowded, filled with tourists",,"This market was difficult to access. There is so much construction in downtown Vancouver that even though my GPS estimated the time to destination as 12 minutes, it took 60 minutes and parking was almost impossible. Once there it was a place for tourists and pretty expensive. Next time I'll go to the smaller neighborhood markets.","September 24, 2017",0,0,,3.0,2021-06-18 12:43:14.282704,2021-06-18 12:43:14.362542,Next time I'll go to the smaller neighborhood markets.,'ll go to the smaller neighborhood markets,-0.9971024394035339,housing,neighborhood
4571,Easy access on foot and by water taxi to this craft and food location,,"It does not look inviting, but the views of the waterfront and marine real estate are stunning.The usual converted dock buildings are converted for public use, and house an interesting choice of eateries, food market, craft and retail.You can easily spend 2 hours wandering around, before returning to downtown by the quaint and rather pricey water taxis.","August 17, 2017",0,0,,4.0,2021-06-18 12:52:41.848668,2021-06-18 12:52:41.925113,"It does not look inviting, but the views of the waterfront and marine real estate are stunning.",the views of the waterfront and marine real estate are stunning,0.9968165755271912,housing,real estate
