,title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time,sentences,phrases,score,asp_word,det_word
3732,Something for everyone,,You can see all the good stuff in about four hours. Take the small ferry to get there. One of the Stanley Park trollies has a stop close to the boarding dock. It is clean and safe.,"January 13, 2018",0,0,,5.0,2021-06-18 12:35:23.038711,2021-06-18 12:35:23.160410,It is clean and safe.,is clean and safe,0.993354320526123,safety,safe
3914,Worth a walk over the bridge,,"If heading from downtown, you can reach Granville Island by walking over the bridge which is safe as it has a sidewalk the entire way. Make sure you walk on the left hand side of the bridge when heading to the island as it is easier to exit the bridge. This place has lots of quirky little shops, food markets, restaurants and bars which are great for people watching. Choose wisely as some are very expensive. Better off heading to the markets to get some tasty bites to eat and then bring out to the waterfront. Decent place to visit.","November 7, 2017",0,0,,4.0,2021-06-18 12:38:32.007705,2021-06-18 12:38:32.092096,"If heading from downtown, you can reach Granville Island by walking over the bridge which is safe as it has a sidewalk the entire way.",can reach Granville Island by walking over the bridge which is safe as it has a sidewalk the entire way,0.732719361782074,safety,safe
4402,Pirate Cruise,,"Don't know name of business, but on Granville Island is a truly wonderful play-acted Priate crusie on a sixty-foot ship, with message in a bottle, treasure map, treasure chest, mutiny and real water cannon for the kids to shoot a rival pirate vessel.","September 3, 2017",0,0,,4.0,2021-06-18 12:48:26.638677,2021-06-18 12:48:26.715165,"Don't know name of business, but on Granville Island is a truly wonderful play-acted Priate crusie on a sixty-foot ship, with message in a bottle, treasure map, treasure chest, mutiny and real water cannon for the kids to shoot a rival pirate vessel.","on Granville Island is a truly wonderful play-acted Priate crusie on a sixty-foot ship, with message in a bottle, treasure map, treasure chest, mutiny and real water cannon for the kids to shoot a rival pirate vessel",0.9982866644859314,safety,shoot
4543,Must see in Vancouver,,"Spend an afternoon or a full morning in this place. There are many activities, from concerts to restaurants, galleries, shopping and market. With so many choices, you won't notice how the time passes by. We took the bus to get to the Granville market and returned to downtown Vancouver at night. It's reliable and safe.","August 19, 2017",0,0,,5.0,2021-06-18 12:51:58.163054,2021-06-18 12:51:58.238377,It's reliable and safe.,'s reliable and safe,0.998781144618988,safety,safe
4649,Beautiful and vibrant place...totally unique.,,"Great restaurant atmosphere. Tons of people. Slow traffic makes it safe for bikes and peds, who mull around this colorful, picturesque, mellow, and active gem en masse. Absolutely a top destination in the Vancouver area.","August 10, 2017",0,0,,5.0,2021-06-18 12:54:27.801281,2021-06-18 12:54:27.878901,"Slow traffic makes it safe for bikes and peds, who mull around this colorful, picturesque, mellow, and active gem en masse.","makes it safe for bikes and peds, who mull around this colorful, picturesque, mellow, and active gem en masse",0.9994698166847229,safety,safe
4835,5 MUST READ COMMENTS,,"1) Quaint village atmosphere 2) safe & funky vibe3) beautiful ocean, city and mountain views4) cool fast food selection5) operational food marketEnjoy !!","July 23, 2017",0,0,,5.0,2021-06-18 12:59:08.758899,2021-06-18 12:59:08.838803,safe & funky vibe3),safe & funky,0.9991650581359863,safety,safe
4922,Super Market Place in Vancouver,,There are a great variety of local eateries and various stalls at Granville. Very relaxed area and very safe. The waterbus can drop you off very quickly on the city side. Granville popular with locals and tourists alike.,"July 16, 2017",0,0,,5.0,2021-06-18 13:01:12.728885,2021-06-18 13:01:12.809033,Very relaxed area and very safe.,very safe,0.9699327349662781,safety,safe
5160,A treasure trove!,,"This is a great spot to while away a few hours! There are loads of little shops & galleries to check out, not to mention the market which is dangerous for food lovers like me! The brewery & gin distillery are also worth checking out, either with a group of friends or for a quiet drink","June 24, 2017",0,0,,5.0,2021-06-18 13:06:51.768919,2021-06-18 13:06:51.855540,"There are loads of little shops & galleries to check out, not to mention the market which is dangerous for food lovers like me!","are loads of little shops & galleries to check out, not to mention the market which is dangerous for food lovers like me",0.9973433613777161,safety,dangerous
5617,So nice views and unique Market,,"I love this place, they have a nice marina and a public Market with many vendors, offering food and souvenirs, the place is very clean and safe, excellent spot gor pictures and leisure!","April 26, 2017",0,0,,5.0,2021-06-18 13:17:51.718901,2021-06-18 13:17:51.796750,"I love this place, they have a nice marina and a public Market with many vendors, offering food and souvenirs, the place is very clean and safe, excellent spot gor pictures and leisure!","the place is very clean and safe, excellent spot gor pictures and leisure",0.9946557283401489,safety,safe
5642,Full of life,,"We found this place by accident. But once we were there we enjoyed it so much we went back a second time before returning to our original destination. You can find various restaurants, shops, and the Farmers Market, which in my opinion is a must-see. It doesn't compare to the one in Seattle, this one I thought was better. Very organized beautiful views of produce, flowers, Jesus, meet, and even jewelry. If I were a little girl I would definitely be buying all my things here.We also visited a quaint local wine shop where we bought a wonderful local wine. If you're looking for something to do for an entire day where you get a various of experiences this is the place to go.","April 20, 2017",0,0,,5.0,2021-06-18 13:18:33.510638,2021-06-18 13:18:33.588777,We found this place by accident.,found this place by accident,0.638077974319458,safety,accident
5661,Fab market great place to spend a sunny sunday,,Spend a nice afternoon milling round the artisan shops on Granville island. The market was great lots of different items on sale - the cake stall looked wonderful. Took the aquabus back to town which was fun. Really clean place and we felt very safe.,"April 17, 2017",0,0,,4.0,2021-06-18 13:19:03.830830,2021-06-18 13:19:03.907610,and we felt very safe.,felt very safe,0.9980878233909607,safety,safe
5771,"Arts, food, and entertainment",,"Granville Island's best known feature is the markets - fresh produce, bakeries, meats et al, and a wide range of meal services in a food fair environment. Live entertainment performs outside, seemingly in all weather conditions. There are many other craft stores, boat works, art stores spread out around the island area. A kids toy market is a must for families especially with young children. One downside is the crowded parking if at all possible park outside the area and walk in, or take a bus to a nearby location, best bet is the False Creek ferry service that has access to Kits area (Maritime Museum), Crystal Pool, Yaletown, and Science World. And if you do not like crowds of shoppers/eaters, not the place for you, but very comfortable and safe environment.","March 28, 2017",0,0,,4.0,2021-06-18 13:21:45.258740,2021-06-18 13:21:45.334653,"And if you do not like crowds of shoppers/eaters, not the place for you, but very comfortable and safe environment.",very comfortable and safe environment,0.9890957474708557,safety,safe
6173,Walking to Granville Island,,"Walking to Granville Island is possible, safe and nothing from another world. I wanted to cross from Downtown Vancouver to the island but I was unable to find any useful info online. You just have to cross the Granville Bridge (about 10-15 mins), get off from the left side and you're just fine and free to go wherever you want. I went to the market and a nice pub behind the market, good and cheap beer on tuesdays.","December 15, 2016",0,0,,4.0,2021-06-18 13:31:48.646170,2021-06-18 13:31:48.727726,"Walking to Granville Island is possible, safe and nothing from another world.","is possible, safe and nothing from another world",0.9802109599113464,safety,safe
6314,Something for everyone!,,"Its not a big Island but its jam packed with things to do .Its full of restaurants and coffee shops , you could spend a week here and not see it all. Some of it is rough and ready but its fascinating and its safe.It has an amazing indoor market selling all sorts of produce at great prices.Fresh fruit is amazingly cheap! There are lots of cheap fast food places but there is also some nice upmarket places .You can hire a boat or Jump on a ferry or just chill out. If your in Vancouver you must visit Granville Island","November 5, 2016",0,0,,4.0,2021-06-18 13:35:23.003354,2021-06-18 13:35:23.084041,Some of it is rough and ready but its fascinating and its safe.,its fascinating and its safe,0.9869866967201233,safety,safe
6346,Best Coffee :),,"This is an awesome place to visit, had the best coffee here at the little organic safe just as you enter the market area, great shops, and great fresh produce :)","November 1, 2016",0,0,,5.0,2021-06-18 13:36:08.209958,2021-06-18 13:36:08.286489,"This is an awesome place to visit, had the best coffee here at the little organic safe just as you enter the market area, great shops, and great fresh produce :)","had the best coffee here at the little organic safe just as you enter the market area, great shops, and great fresh produce",0.9973369240760803,safety,safe
6882,Something for everyone,,"We stopped on Labor Day, on our way out of Vancouver. The weather was windy and looked like rain. There had been an accident where a light post was knocked over so the entrance to Granville Island was closed by a police car. Deyeined to get there, we ended up taking an alternate round about way in to get there. You need to be attentive and aware of your surroundings as there can be several tour buses, many locals coming to shop, and other travelers shopping. Strollers and wheelchairs will have a difficult time to maneuver in the narrow walkways of the farmers market.As it was Labor Day, it seemed like not everything was open to wander through. It's a great place to get to see local artists and their work. It's a nice place to meander and take in the sights, sounds, and people watch. There's a children's play area too.The best thing we liked was to go into the Farmers market. Pastries, donuts, hot food, pre-cooked foods, breads, coffee, tea, smoothies, beer, wine, cheese, fresh fruits and vegetables, fresh seafood, and live lobsters and shellfish, and artisan made items. Great place to pick up souvenirs and goodies for the trip home.It's easy to spend a couple of hours here. We like to pick up an assortment of food items and then have a nice lunch to enjoy the atmosphere, the company, and nice weather (when the sky is not full of dark clouds and the wind isn't blowing). There were several live entertainers performing that day. It was nice to have the live music to listen to and to people watch. Definitely need to stop by and see at least once.","September 9, 2016",0,0,,4.0,2021-06-18 13:48:17.177713,2021-06-18 13:48:17.257459,There had been an accident where a light post was knocked over so the entrance to Granville Island was closed by a police car.,had been an accident where a light post was knocked over so the entrance to Granville Island was closed by a police car,-0.7249715328216553,safety,accident
7254,Canada Adventure,,"We were there on a very busy Sunday. The car traffic was a little insane and a little dangerous. I think that there should be limited car traffic on the island because it is a small space and so many pedestrians. The food market itself is very impressive. I would recommend eating there. It is fun to see and try so many different foods. There is a lot of ""stuff"" that you have to weed through but there are a few gems along the way. Nothing is a bargain.","August 15, 2016",0,0,,4.0,2021-06-18 13:54:56.612664,2021-06-18 13:54:56.692711,The car traffic was a little insane and a little dangerous.,was a little insane and a little dangerous,-0.9849742650985718,safety,dangerous
7346,Always a Treat,,"Pros : Lots of little unique stores to wander through, and art galleries :) Great little places to explore . The market is amazing, so many sights , sounds, smells to take in . You will always walk away with some type of treasure . Cons : Always extremely busy , and I find the concrete plant right in the middle, very dangerous as cement trucks are always barreling in and out of there , just be cautious and use common sense","August 9, 2016",0,0,,5.0,2021-06-18 13:56:32.062290,2021-06-18 13:56:32.166687,"Always extremely busy , and I find the concrete plant right in the middle, very dangerous as cement trucks are always barreling in and out of there , just be cautious and use common sense","I find the concrete plant right in the middle, very dangerous as cement trucks are always barreling in and out of there , just be cautious and use common sense",-0.9923242330551147,safety,dangerous
7563,Kids Zone - Unique Opportunity,,"We brought children to the Kids Zone and they have a very slick system for keeping the children secured and in a safe play environment. This gave us some adult time while one stayed with a visual on the climber and the other could check out the other shops. Bought lunch at a variety of little places but none us us liked our food very much. Should have chosen a sit down restaurant, like Bridges. Cute but pricey shops. Parking was free!","July 26, 2016",0,0,,3.0,2021-06-18 14:00:42.937807,2021-06-18 14:00:43.026343,We brought children to the Kids Zone and they have a very slick system for keeping the children secured and in a safe play environment.,they have a very slick system for keeping the children secured and in a safe play environment,0.9992775321006775,safety,safe
7631,"Markets, dinner, drinks and theatre",,"I chose to spend my last evening in Canada here, there is so much on offer and really felt like it was such a safe part of the city, the area is so clean and the views are spectacular on the waterfront, everything is very reasonably priced and for me it was a special end to the best trip!!","July 22, 2016",0,0,,4.0,2021-06-18 14:02:01.849560,2021-06-18 14:02:01.936681,"I chose to spend my last evening in Canada here, there is so much on offer and really felt like it was such a safe part of the city, the area is so clean and the views are spectacular on the waterfront, everything is very reasonably priced and for me it was a special end to the best trip!!",there is so much on offer and really felt like it was such a safe part of the city,0.9995331764221191,safety,safe
7822,"Thought it would be a total tourist trap, it wasn't",,"Found ourselves there almost by accident as we had been visiting galleries on Granville Street and it was raining and much of the island is under cover. There are, of course, some places selling tourist nick knacks made elsewhere, but some brilliant food, craft and native art stands. stall and galleries. Plenty of place to eat well and well worth a visit.","July 9, 2016",0,0,,5.0,2021-06-18 14:06:25.882966,2021-06-18 14:06:25.982271,Found ourselves there almost by accident as we had been visiting galleries on Granville Street,almost by accident,0.9073097705841064,safety,accident
8021,A wonderful place to walk around & enjoy---something for all the family,,"There are several Art galleries--with a good variety of visual arts & crafts --Canadian Federation of Art gallery.Areas for "" Kids"". Many unique small shops-good souveniers. several excellent restaurants--a safe area to walk around---Parking is good ( & free for 3hours ) + some pay parking if you want to stay longer. Granville Island is very popular--especially on sunny days ( any time of year ----essentially no snow in the winter ! )-If it rains, no problem !---but may need an umbrella !","June 23, 2016",0,0,,4.0,2021-06-18 14:11:09.409348,2021-06-18 14:11:09.509928,several excellent restaurants--a safe area to walk around---Parking is good ( & free for 3hours ) + some pay parking if you want to stay longer.,several excellent restaurants--a safe area to walk around---Parking is good ( & free for 3hours ),0.9960678815841675,safety,safe
8747,Good half day trip for small children.,,"If you want to spend half day at your leisure with you kids and family, its a good place to enjoy the different little gift shops and food market. I went on a saturday, and I saw a lot of people who drove there had hard time finding a parking spot. I don't think anyone would want to spend an hour driving around a crowded square looking for a parking spot. I recommend taking one of the Aquaboat to get there. My 2 year old enjoyed the little boat ride. I had some reservation about the little boat at first but the people operating the boat was very friendly, helpful, and its safe. You can even pay for the boat ride with a credit card when you get off the boat. If you have a stroller or bicycle, you can just roll them on to the boat (the slightly larger boat).","April 10, 2016",0,0,,4.0,2021-06-18 14:25:27.719509,2021-06-18 14:25:27.812036,"I had some reservation about the little boat at first but the people operating the boat was very friendly, helpful, and its safe.","the people operating the boat was very friendly, helpful, and its safe",0.9881405830383301,safety,safe
8753,Typical Market Area,,This is a large market area with numerous buildings and booth areas. It is a very pleasant and safe place to walk and shop as well as eat and or snack. Lots of shops selling just about anything you would want.We saw lots of tourists and locals and it was somewhat crowded. Very popular place. Recommend you visit.,"April 7, 2016",0,0,,3.0,2021-06-18 14:25:38.365638,2021-06-18 14:25:38.458207,It is a very pleasant and safe place to walk and shop as well as eat and or snack.,is a very pleasant and safe place to walk and shop as well as eat and or snack,0.9847704172134399,safety,safe
8782,nice place to spend time and eat,,"Nice location, clean and well organized with lots of options for grocery and eating. clean and safe place.","April 1, 2016",0,0,,5.0,2021-06-18 14:26:14.633004,2021-06-18 14:26:14.722581,clean and safe place.,clean and safe,0.9993219375610352,safety,safe
9055,Fun day,,Food was greatShopping even betterA great spot to just bring a camera a coffee and sit back and shoot. Between the Vancouver skyline all the boats in and out and the people a great place to sit back and take a lot of shots.,"February 8, 2016",0,0,,4.0,2021-06-18 14:31:11.917938,2021-06-18 14:31:12.015350,Food was greatShopping even betterA great spot to just bring a camera a coffee and sit back and shoot.,was greatShopping even betterA great spot to just bring a camera a coffee and sit back and shoot,0.9986612796783447,safety,shoot
9568,Granville,,This place is unique in the sense that art is all over ! However i find it quite unorganized the cars and the people mix together making it unsafe for leisure walking for tourists.,"October 20, 2015",0,0,,4.0,2021-06-18 14:40:46.865230,2021-06-18 14:40:46.944647,However i find it quite unorganized the cars and the people mix together making it unsafe for leisure walking for tourists.,find it quite unorganized the cars and the people mix together making it unsafe for leisure walking for tourists,-0.9997279047966003,safety,unsafe
9686,Feast for the senses,,"This has probably been my favourite place in Vancouver while on a short visit. We explored the markets before and after going on a whale watching tour.There are lots of small and unique shops (no tourist tat here!), fantastic eateries and activities if you wish. My tip is to go with an empty stomach because you are going to want to eat here! You'll find bakeries, pies, Chinese food, Thai food, Mexican food, fudge (delicious and creamy), chocolates, macaroons, fish and chips... The list could go on! Fair to say I ate a lot! The main public market is all indoors so you can stay safe from the cold and rain. This is definitely a feast for the senses.","October 10, 2015",0,0,,5.0,2021-06-18 14:42:59.448804,2021-06-18 14:42:59.526728,The main public market is all indoors so you can stay safe from the cold and rain.,is all indoors so you can stay safe from the cold and rain,0.9489858746528625,safety,safe
9797,"Excellent Market, Great People Watching and Nice Waterside Break!",,"Granville Island is a great place to begin your Vancouver experience and to get a feel for what Vancouver and BC has to offer. You can take a cab from downtown for under 10 dollars or grab a water taxi from various locations around downtown for only a few dollars. It has an excellent and eclectic market featuring local and imported product, a respectable variety of food vendors (both in the food court and upscale restaurants), beautiful waterside views from which to enjoy your repast. There are also outlets for clothing, boating accessories, rock shops, artworks, etc.. There is a arts campus onsite, live theater performances and a succession of street performers of all types, in several locations. It's a mini cultural oasis in the heart of the city and it is very popular. As such, it's also a great place to people watch. It's draws an excellent mix of cultures into a safe, casual and fun environment. I have been there many times and I highly recommend a visit to Granville Island.","September 28, 2015",0,0,,4.0,2021-06-18 14:44:58.608169,2021-06-18 14:44:58.685873,"It's draws an excellent mix of cultures into a safe, casual and fun environment.","'s draws an excellent mix of cultures into a safe, casual and fun environment",0.9994692206382751,safety,safe
9972,Awesome Public Market,,"This is an eclectic collections of shops and eateries a short way from downtown Vancouver. Lots of enticing shops to browse, people watch, sample.The Public Market is phenomenal for the extensive collection of food stalls, eateries, odd collectibles. There are no bargains for food choices but the choices are extensive and very good.Sitting out on the pier listening to various performers, soaking up the sun and relaxing is unbeatable in my estimation.It's a great area for walking, safe and fun. Good for half day of browsing.","September 13, 2015",0,0,,4.0,2021-06-18 14:48:12.459477,2021-06-18 14:48:12.564416,"It's a great area for walking, safe and fun.","'s a great area for walking, safe and fun",0.9756563305854797,safety,safe
9985,A little gem in a town with so much to see!,,"Stumbled on this fun place on accident and what a great accident! First thing we noticed was that the farmers market was impeccable... everything was delicious and fresh! The vendors prepare so many delicious options, we went there for several meals. It's a great short walk around to check out the sights... and if you want, you can take the water taxi to the other side (we did - worth it!) There's also a distillery nearby I highly recommend!","September 13, 2015",0,0,,5.0,2021-06-18 14:48:22.972424,2021-06-18 14:48:23.052101,Stumbled on this fun place on accident and what a great accident!,Stumbled on this fun place on accident and what a great accident,0.893699049949646,safety,accident
9985,A little gem in a town with so much to see!,,"Stumbled on this fun place on accident and what a great accident! First thing we noticed was that the farmers market was impeccable... everything was delicious and fresh! The vendors prepare so many delicious options, we went there for several meals. It's a great short walk around to check out the sights... and if you want, you can take the water taxi to the other side (we did - worth it!) There's also a distillery nearby I highly recommend!","September 13, 2015",0,0,,5.0,2021-06-18 14:48:22.972424,2021-06-18 14:48:23.052101,Stumbled on this fun place on accident and what a great accident!,Stumbled on this fun place on accident and what a great accident,0.893699049949646,safety,accident
9998,Great shopping and good food,,"This is a great place for tourists. Lots of shopping, lots to eat, and lots to see. Live entertainment in the square is always very good. Lots of people though, so be safe. A fun place to visit.","September 12, 2015",0,0,,5.0,2021-06-18 14:48:36.607537,2021-06-18 14:48:36.689941,"Lots of people though, so be safe.",be safe,-0.7944469451904297,safety,safe
10339,A good place to cycle,,Trendy with lots to do for the family. Go by bus or ferry.Plenty of restaurants and safe area for children,"August 14, 2015",0,0,,4.0,2021-06-18 14:54:39.171406,2021-06-18 14:54:39.250006,Plenty of restaurants and safe area for children,safe area for children,0.993862509727478,safety,safe
10368,Hard to find by car,,"We wanted to go to Granville island but the first day we couldn't find the access road to go there. The second day we did succeed by accident, and we drove around, As it was raining cats and dogs, and there was no parking space to be found, we decided to drive around the area and then go back to the hotel. So unfortunately we only experienced it from behind a car window.","August 13, 2015",0,0,,3.0,2021-06-18 14:55:08.239075,2021-06-18 14:55:08.323904,"The second day we did succeed by accident, and we drove around, As it was raining cats and dogs, and there was no parking space to be found, we decided to drive around the area and then go back to the hotel.",The second day we did succeed by accident,-0.9999433755874634,safety,accident
10377,Too Busy,,"We visited Granville Island at the end of July on a Friday. There were so many people there that we could hardly move about. Also too much traffic. It appeared that everyone was looking for a parking space which Granville Island has a limited amount of. There was a tour bus that was trying to turn a corner and needed the help of pedestrians to back up to get around a corner. In some places there is no sidewalk for pedestrians and it is dangerous to try to cross the street. Some of the shops were interesting, but expensive. In my opinion, it would be a much nicer place if it was limited to pedestrians only and vehicles were prohibited.","August 12, 2015",0,0,,2.0,2021-06-18 14:55:18.048727,2021-06-18 14:55:18.127443,In some places there is no sidewalk for pedestrians and it is dangerous to try to cross the street.,it is dangerous to try to cross the street,-0.9975603818893433,safety,dangerous
10529,Cycle round Stanley Park,,Hire bikes and take a leisurely ride with the family round Stanley Park. The bike hire is really close and the ride safe with great views of Vancouver. Snacks and toilets available on the way round,"July 31, 2015",0,0,,5.0,2021-06-18 14:58:03.498591,2021-06-18 14:58:03.579693,The bike hire is really close and the ride safe with great views of Vancouver.,the ride safe with great views of Vancouver,0.9937532544136047,safety,safe
11147,What a find,,"We found this place by accident and what looked like a slightly run down semi industrial area turned out to be an artistic community. A living, urban hideaway filled with waterfront restaurants, theatres, galleries, studios, art schools, cafes and the most wonderful fresh food market you've ever seen. Add a vibrant and diverse mix of people and activities. We intended to stay on the island as a base to visit the city and didn't venture off. This is where locals and visitors come together be entertained or simply to breathe in some of its atmosphere.","June 10, 2015",0,0,,5.0,2021-06-18 15:09:37.303646,2021-06-18 15:09:37.382446,We found this place by accident and what looked like a slightly run down semi industrial area turned out to be an artistic community.,We found this place by accident,0.9660409688949585,safety,accident
11935,Nice & Cosy Environment,,"It is a lovely stopover for a meal at the Granville Food market whereby cooked and frozen food are sold and they are segregated.Different varieties of food are sold from the Asian to western meals. The other side of the food section has abundant stalls for you to purchase souvenirs, accessories or anything you delight.For photo shoot you can walk towards the wharf where seagulls perched and add to the background with boats anchored nearby. This is underneath the Granville street bridge.It is winter and it is cold and the patient drivers will not horn you even when you are blocking their way and passerby helpfully highlight that to you. It is a pleasing experience as you are not scared out of your wits as you will be immersed in your photo shoot of the beautiful environment.","December 15, 2014",0,0,,5.0,2021-06-18 15:24:41.119130,2021-06-18 15:24:41.195595,For photo shoot you can walk towards the wharf where seagulls perched and add to the background with boats anchored nearby.,For photo shoot,0.8919914960861206,safety,shoot
11935,Nice & Cosy Environment,,"It is a lovely stopover for a meal at the Granville Food market whereby cooked and frozen food are sold and they are segregated.Different varieties of food are sold from the Asian to western meals. The other side of the food section has abundant stalls for you to purchase souvenirs, accessories or anything you delight.For photo shoot you can walk towards the wharf where seagulls perched and add to the background with boats anchored nearby. This is underneath the Granville street bridge.It is winter and it is cold and the patient drivers will not horn you even when you are blocking their way and passerby helpfully highlight that to you. It is a pleasing experience as you are not scared out of your wits as you will be immersed in your photo shoot of the beautiful environment.","December 15, 2014",0,0,,5.0,2021-06-18 15:24:41.119130,2021-06-18 15:24:41.195595,It is a pleasing experience as you are not scared out of your wits as you will be immersed in your photo shoot of the beautiful environment.,is a pleasing experience as you are not scared out of your wits as you will be immersed in your photo shoot of the beautiful environment,0.9990322589874268,safety,shoot
12446,Funky and fun,,"Wonderful place to visit. Great market, lots of different stalls (if a bit on the pricey side). Super views of downtown Vancouver. Great outdoor entertainment. Lots of places to find food. Watch out for the seagulls, they steal your food - eat outside and make sure your children are safe.","September 6, 2014",0,0,,5.0,2021-06-18 15:36:42.181603,2021-06-18 15:36:42.258129,"Watch out for the seagulls, they steal your food - eat outside and make sure your children are safe.",they steal your food - eat outside and make sure your children are safe,0.8245664238929749,safety,safe
12477,Yes....do,,This can be an all day roam. Do not walk over Granville bridge...to far and no pedestrian walk. A bit dangerous! Lots of artisans...wonderful food and market! Lots of people...don't know if this is normal or if it was vacation traffic.,"September 3, 2014",0,0,,4.0,2021-06-18 15:37:27.852551,2021-06-18 15:37:27.929921,A bit dangerous!,A bit dangerous,-0.9922286868095398,safety,dangerous
