title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
Still worth seeing,,"The neighborhood has been long gentrified, but the drive is still a wonderful multi-cultural mix of restaurants, retail, and people-watching.  Hipster heaven.","April 20, 2019",0,0,,5.0,2021-06-18 21:22:51.693355,2021-06-18 21:22:51.790560
A Vibrant Gem,,"Commercial drive really is a special place where everyone is welcome. The vibe is so chill and without judgment. It’s great to see a place like Commercial Drive be so vibrant and continue to evolve. The street is lined with a variety of eclectic shops, amazing restaurants and a real mix of cultures which melt into something special without judgement or prejudice.","April 2, 2019",0,0,,5.0,2021-06-18 21:22:51.790566,2021-06-18 21:22:51.880897
Little Italy disappears,,"Not too long ago Commercial Drive was Vancouver's Little Italy. Over time the Italians moved east (retained all the Real Estate) and gave up a great part of Commercial Drive to an eclectic harmony of various ethnic groups. Now the Drive is amazingly popular for a variety of food experiences, restaurants, coffee haunts, food produce funky shops and still some of the best pizza in the city. Beautiful street worth the walk. Houses in the area are period as is for the most part the Drive. Check it out.","March 29, 2019",0,0,,5.0,2021-06-18 21:22:51.880902,2021-06-18 21:22:51.972994
The Best Neighbourhood,,"I love this street. All kinds of interesting shops (Dr. Vigari, Magnet Hardware, Santa Barbara Market to name a few). Great vibe. A real community feel.","March 21, 2019",0,0,,5.0,2021-06-18 21:22:51.972999,2021-06-18 21:22:52.063695
A taste of Vancouver!,,"On our last day in Vancouver we wanted to experience a local neighborhood. Our concierge recommended we go visit what  the locals know as the drive. Very international flavour of restaurants, such friendly people!","March 16, 2019",0,0,,5.0,2021-06-18 21:22:52.063701,2021-06-18 21:22:52.154861
Fun walk on a sunny day,,Lots of net little restaurants and places to sit to have a drink as you watch the world go by. If you are a soccer fan you can enhance your World Cup experience by visiting thi eclectic street scene.,"January 22, 2019",0,0,,4.0,2021-06-18 21:22:52.154867,2021-06-18 21:22:52.248397
Lots of variety on one street!!,,You can't go wrong visiting Commercial Drive - lots of restaurants to pick from and amazing coffee shops.  Lots of culture to see on this street.,"January 21, 2019",0,0,,5.0,2021-06-18 21:22:52.248405,2021-06-18 21:22:52.342671
Funkiest Neighbourhood In Vancouver?,,"This little area, stretching a dozen blocks north of the Skytrain stations at Broadway, is a true distinct neighbourhood. The atmosphere is one of counter-culture attitude, reminiscent of the 1960's. The strong influence of ""Little Italy"" adds to the distinct tone of the area I can't find anywhere else in Vancouver. Don't bring your car, do take either train line to Broadway; and enjoy the walk, the shops, and the cafes.","December 28, 2018",0,0,,4.0,2021-06-18 21:22:52.342677,2021-06-18 21:22:52.433201
Lots of little hidden gems,,Best explored on foot. Just lookout for people who don't know what stop signs mean when you are crossing the street... lots of great places to eat or grab a coffee or browse the shops,"November 8, 2018",0,0,,3.0,2021-06-18 21:23:03.616731,2021-06-18 21:23:03.720391
Love it here,,"Fantastic cafes with delicious food, perfect for breakfast. Also, there are some great second hand stores ( some are quite expensive) with really cool clothes and a theatre. I love spending time here, the vibe of the drive is really relaxed.","October 20, 2018",0,0,,5.0,2021-06-18 21:23:03.720397,2021-06-18 21:23:03.818121
"Some very nice shops, quite small though",,"The drive had some very nice independent shops and bars that were very cool. However, it is slightly smaller than you expect, so realistically you will only be here for a couple of hours max.","October 18, 2018",0,0,,3.0,2021-06-18 21:23:03.818127,2021-06-18 21:23:03.921851
"This is a great area for a walk, a little shopping and some great foody opportunities.",,"We love the ""drive"" as there are funky stores, cute boutiques, great restaurants and even interesting people.  It is a wonderful place for a stroll and you can catch breakfast, lunch or dinner in any number of great eateries and they are mostly affordable and with tasty options.  Shopping is interesting with items from many places in the world.","October 13, 2018",0,0,,4.0,2021-06-18 21:23:03.921874,2021-06-18 21:23:04.018544
Cool Eclectric Street Lined with Shops and Restaurant,,This street is about half mile long with shops and restaurants that the locals go to.  The price is very affordable.,"September 17, 2018",0,0,,4.0,2021-06-18 21:23:04.018550,2021-06-18 21:23:04.117823
Unique,,A great place to stroll on a leisurely afternoon. The unique blend of small independent shops and restaurants adds flavor to the neighborhood.,"September 1, 2018",0,0,,5.0,2021-06-18 21:23:04.117829,2021-06-18 21:23:04.226451
Coffee with a friend,,Great street to walk. People watching or a excellent selection of different restaurants. Tried a Jamaican rest & was very good.,"August 30, 2018",0,0,,5.0,2021-06-18 21:23:04.226459,2021-06-18 21:23:04.331795
"Funky folks, funky restaurants, Little Italy getting gentrified but still cool",,"In the heart of The Republic of East Vancouver, Commercial Drive still maintains a bit of an edge in terms of its political thinking.  Lots of alternative types hanging around, as well as up-market hipsters.  Great restaurants, the best of which as far as I am concerned is The Libra Room.  A wonderful bar/restaurant with fantastic live jazz every night.  The food is really good, inventive and affordable..  I love this place to bits.  Go there, dont wait!","August 14, 2018",0,0,,5.0,2021-06-18 21:23:04.331801,2021-06-18 21:23:04.441137
The hippy side of town,,"We were here on the car free day between 1st and 14th Ave. The street was abuzz with stalls selling goods and activist stalls. The home made ice pops were particularly good! Normally Commercial Drive is an eclectic area of cafes, restaurants, pot shops and great transport, with easy access to the sky train and buses to Scince World, Granville, Canada Place etc. the surrounding area is very family orientated and you are not far from the Trout Lake Community Centre. Safeway is located next to the skytrain station on 10th Ave, for grocery shopping too. It is an easy area to stay.","July 27, 2018",0,0,,4.0,2021-06-18 21:23:04.441144,2021-06-18 21:23:04.560840
Different Vibe of Vancouver,,"I  really really enjoyed this neighborhood! They offered a lot of variety when it comes to their shops and restos. There are a lot of pizza places; however, they all offered a unique twist to their dish! So many amazing and quaint shops. From house plants, to freshly brewed coffees, you cannot miss this place!","July 26, 2018",0,0,,5.0,2021-06-18 21:23:04.560846,2021-06-18 21:23:04.655012
Lots of little hidden gems,,Best explored on foot. Just lookout for people who don't know what stop signs mean when you are crossing the street... lots of great places to eat or grab a coffee or browse the shops,"November 8, 2018",0,0,,3.0,2021-06-18 21:23:16.019277,2021-06-18 21:23:16.113934
Love it here,,"Fantastic cafes with delicious food, perfect for breakfast. Also, there are some great second hand stores ( some are quite expensive) with really cool clothes and a theatre. I love spending time here, the vibe of the drive is really relaxed.","October 20, 2018",0,0,,5.0,2021-06-18 21:23:16.113940,2021-06-18 21:23:16.202568
"Some very nice shops, quite small though",,"The drive had some very nice independent shops and bars that were very cool. However, it is slightly smaller than you expect, so realistically you will only be here for a couple of hours max.","October 18, 2018",0,0,,3.0,2021-06-18 21:23:16.202575,2021-06-18 21:23:16.291899
"This is a great area for a walk, a little shopping and some great foody opportunities.",,"We love the ""drive"" as there are funky stores, cute boutiques, great restaurants and even interesting people.  It is a wonderful place for a stroll and you can catch breakfast, lunch or dinner in any number of great eateries and they are mostly affordable and with tasty options.  Shopping is interesting with items from many places in the world.","October 13, 2018",0,0,,4.0,2021-06-18 21:23:16.291905,2021-06-18 21:23:16.378120
Cool Eclectric Street Lined with Shops and Restaurant,,This street is about half mile long with shops and restaurants that the locals go to.  The price is very affordable.,"September 17, 2018",0,0,,4.0,2021-06-18 21:23:16.378126,2021-06-18 21:23:16.479324
Unique,,A great place to stroll on a leisurely afternoon. The unique blend of small independent shops and restaurants adds flavor to the neighborhood.,"September 1, 2018",0,0,,5.0,2021-06-18 21:23:16.479330,2021-06-18 21:23:16.567443
Coffee with a friend,,Great street to walk. People watching or a excellent selection of different restaurants. Tried a Jamaican rest & was very good.,"August 30, 2018",0,0,,5.0,2021-06-18 21:23:16.567449,2021-06-18 21:23:16.667363
"Funky folks, funky restaurants, Little Italy getting gentrified but still cool",,"In the heart of The Republic of East Vancouver, Commercial Drive still maintains a bit of an edge in terms of its political thinking.  Lots of alternative types hanging around, as well as up-market hipsters.  Great restaurants, the best of which as far as I am concerned is The Libra Room.  A wonderful bar/restaurant with fantastic live jazz every night.  The food is really good, inventive and affordable..  I love this place to bits.  Go there, dont wait!","August 14, 2018",0,0,,5.0,2021-06-18 21:23:16.667369,2021-06-18 21:23:16.756881
The hippy side of town,,"We were here on the car free day between 1st and 14th Ave. The street was abuzz with stalls selling goods and activist stalls. The home made ice pops were particularly good! Normally Commercial Drive is an eclectic area of cafes, restaurants, pot shops and great transport, with easy access to the sky train and buses to Scince World, Granville, Canada Place etc. the surrounding area is very family orientated and you are not far from the Trout Lake Community Centre. Safeway is located next to the skytrain station on 10th Ave, for grocery shopping too. It is an easy area to stay.","July 27, 2018",0,0,,4.0,2021-06-18 21:23:16.756917,2021-06-18 21:23:16.845839
Different Vibe of Vancouver,,"I  really really enjoyed this neighborhood! They offered a lot of variety when it comes to their shops and restos. There are a lot of pizza places; however, they all offered a unique twist to their dish! So many amazing and quaint shops. From house plants, to freshly brewed coffees, you cannot miss this place!","July 26, 2018",0,0,,5.0,2021-06-18 21:23:16.845849,2021-06-18 21:23:16.944399
The Drive,,"I stayed at an Arbnb in this area. Commercial Drive is a very old school, trendy street with all sorts of bars, restaurants, cafes, shops, and services. It's a nice change from the downtown core of big retail outlets and chain stores. If you want to experience some truly authentic Vancouver culture, then head to The Drive.","July 22, 2018",0,0,,4.0,2021-06-18 21:23:29.061623,2021-06-18 21:23:29.157794
Quaint neighborhood,,Great Italian and Spanish restarants along the Drive. Funky shops and a real beighborhood feel. Many days are closed to traffic like Italian Days. Great place to take in soccer games in the coffee shops.,"July 9, 2018",0,0,,4.0,2021-06-18 21:23:29.157801,2021-06-18 21:23:29.246439
Variety of different stores,,"Commercial Drive Vancouver British Columbia was a little sleepy at the time we first arrived, it does get very crowded and busy.  Traffic seems to be gridlocked no matter what time you are there.Good variety of businesses and restaurants.","July 8, 2018",0,0,,4.0,2021-06-18 21:23:29.246444,2021-06-18 21:23:29.341506
I love the drive,,"Great food options that will cater to anyone's wants/needs, good coffee shops, dessert spots.  Parking can be a headache at times, but usually not an issue.","July 2, 2018",0,0,,4.0,2021-06-18 21:23:29.341512,2021-06-18 21:23:29.429119
"Never heard of this place, then be adventurous!",,"Are you interested in Italian, Mexican, Cuban, Greek and other specialty food, as well as vegan and vegetarian options galore, great little bar clubs, jazz and live music, big outdoor sidewalk patios, great street to walk and enjoy activities? Then this is your place! It's a charming neighborhood! Take the sky train from downtown to Commercial and Broadway if you don't have a car - no worries, very walkable!","June 25, 2018",0,0,,5.0,2021-06-18 21:23:29.429125,2021-06-18 21:23:29.522994
Local color,,"Commercial Drive itself is an interesting mixture of shops and restaurants. The #20 bus goes all the way to and from downtown or you can use it to connect with the 99B or 95 express bus lines to take you east and west. As with many of the in-town neighborhoods we saw in Vancouver, there is a commercial street with a residential zone just behind. Yes, you see some homeless people in the parks, on the public transportation, and in the streets. We never felt threatened or hassled. In fact, most people we met were friendly and helpful.","June 4, 2018",0,0,,4.0,2021-06-18 21:23:29.523000,2021-06-18 21:23:29.622783
Funky Town,,"The funky part of Vancouver. Enjoy great cafe's, funky little shops and food from all around the world.","May 30, 2018",0,0,,5.0,2021-06-18 21:23:29.622789,2021-06-18 21:23:29.720864
Poverty,,"To many bums asking for money and ywt they have cell phones? Like , wtf! is wrong here! Typical scammers!","May 25, 2018",0,0,,1.0,2021-06-18 21:23:29.720870,2021-06-18 21:23:29.809763
Lots of restaurants,,"We came here as it was so close to our accommodation whilst staying in Vancouver. I have to say even though the area is full of restaurants and cafes, I found the quality to be less than the rest of Vancouver. Would I go out of my way to see this place? No unfortunately.","May 21, 2018",0,0,,3.0,2021-06-18 21:23:29.809770,2021-06-18 21:23:29.905669
Really fun street,,"Lots of cool restaurants and shops, great vibe.  A bit away from the tourist areas.  Easily accessed by #20 bus or the Canada line from the City Center. Any kind of cuisine can be found here.","May 13, 2018",0,0,,5.0,2021-06-18 21:23:29.905675,2021-06-18 21:23:29.992928
Vancouver’s best neighbourhood,,"It is such a shame that all the tourists flock to Gastown and miss what Vancouver is really all about. Oh well, we will just keep it to ourselves. ;)","May 8, 2018",0,0,,5.0,2021-06-18 21:23:43.456468,2021-06-18 21:23:43.553872
One of the most diverse neighbourhoods in Vancouver,,"There are so many different small shops, cafes and restaurants. Commercial Drive is a great neighbourhood to walk for a few hours and discover a different part of Vancouver.","May 2, 2018",0,0,,5.0,2021-06-18 21:23:43.553878,2021-06-18 21:23:43.641530
"Fiercely independent, a bit gritty, but genuinely East Van.",,"Commercial Drive spans the neighbourhoods of Grandview and Woodland, and is much like the main drag of small-city Anywhere, Canada.  You could make comparisons to Toronto's Leslieville, or even some neighbourhoods in London England.The unique feature of Commercial Drive is the lack of big box or chain stores.  This is an area where even MacDonald's failed to survive, though there is one Starbucks and a MacDonald's right beside the SkyTrain station at Commercial & Broadway.  The storefronts are mostlly housed in buildings that made up the original 1910 era urban landscape, though sadly this is changing with the increasing pressure to build bigger, taller, and glitzy structures that would ruin the cache of ""the Drive.""   Nearly all of the businesses are unique enterprises, dominated by a large number of restaurants.  You like to eat?  This is certainly the place to come, with probably the greatest variety of quality eats and local atmosphere to be found anywhere in Vancouver.How do you get there?   Caution--parking is limited, especially on weekends in the evening.  Solution?  Transit is easy from downtown Vancouver.  Take the Skytrain to Commercial / Broadway station.  There are some good eateries in the immediate area--Bandidas to the south, and Broadway Station Sushi to the west (see my reviews).   While you're at it, you might even take in a bit of entertainment at the famous Rio Theatre, a quirky bastion of East Van counter-culture.  Nearly are two pubs, Toby's and St. Augustine's (60 taps!  Great food!).   Generally, if you walk north from Broadway, you will be immersed in foodie heaven, with choices like Jam Jar (Lebanese) and Sweet Greek (recommended!).If you have time, you can spend hours ambling between Broadway and Venables, and maybe a bit farther.  Bomber Brewery on Adanac St. comes to mind, as does the new kid on the block, East Van Brewery on Venables.If visiting, you might want to arrive a bit before noon, and spend the whole afternoon drinking in the ambiance.It's always good to come hungry.  You won't be disappointed.","April 28, 2018",0,0,,5.0,2021-06-18 21:23:43.641536,2021-06-18 21:23:43.728425
"It Changes, Yet Remains The Same",,"Over the years, some of the Italian restaurants have become sushi places, and the hippy joints have been replaced by hipster boutiques, but the atmosphere of counter-culture remains the same. Visitors to Vancouver may be reminded of Haight-Ashbury or Greenwich Village. A plethora of shops, cafes, places to sit and people watch. Take the skytrain to Commercial Drive and stroll a few blocks north.","April 7, 2018",0,0,,4.0,2021-06-18 21:23:43.728431,2021-06-18 21:23:43.815087
Stroll The Drive,,"While visiting my family, I have walked the approximately 14 blocks of Commercial Drive many times. It has lots of coffee shops, ethnic eateries, meat, pastry, and grocery stores, as well as clothing, book, and gently used items stores. It is great to pop in to these small shops and sample their wares. I especially enjoyed the Italian bakery, sausage shop, Prato coffee shop, and Kisimoto  restaurant. I love seeing all the fruits and vegetables out on the sidewalk. So I encourage you to stroll “the drive” and enjoy your many “senses”.","March 21, 2018",0,0,,4.0,2021-06-18 21:23:43.815093,2021-06-18 21:23:43.918996
I just didn't feel safe!,,"Been to this area three times because it does have interesting restaurant options, however it is one of those areas where you just don't feel very safe. Asked a few friends and most of them got the same feeling.","March 5, 2018",0,0,,2.0,2021-06-18 21:23:43.919002,2021-06-18 21:23:44.022465
Really Cool Neighborhood. Great food at JAM!,,"Check this neighborhood out.  We dined at JAM and WOW!  Delicious.....the chef, Ash, is not only highly talented but fun to talk to.  I would highly recommend taking a walk a checking out the shops and restaurants.","January 22, 2018",0,0,,5.0,2021-06-18 21:23:44.022472,2021-06-18 21:23:44.115466
Not Impressed,,"Unless we missed something, I'm not sure why anyone would go out of their way to get to Commercial Drive when there are so many other lovely places in Vancouver to see/visit. I really hate to be negative, so it pains me to write this review, but I'm really surprised by the hype that it received.","December 30, 2017",0,0,,2.0,2021-06-18 21:23:44.115472,2021-06-18 21:23:44.202411
"A bit scruffy, but delightful at the same time",,"Spent quite a while walking down commercial drive, a few interesting shops to browse around in. Filled with nice coffee shops, restaurants and bakeries. A few quirky shops that's fun to look at or buy a unique gift. The street is a bit busy for my taste.","December 4, 2017",0,0,,3.0,2021-06-18 21:23:44.202417,2021-06-18 21:23:44.288068
Good Selection of Tempting Specialty Shops,,"We walked part of the drive in the rain this time. Our object was to pick up Italian Panini for supper. Lots of coffee shops, restaurants and other stores. Good bus transportation.","December 2, 2017",0,0,,5.0,2021-06-18 21:23:44.288076,2021-06-18 21:23:44.381090
Hipster mix,,Great are for fun little bars and great restaurants. This is an upcoming area for sure - where hipster meets original. Great area for vintages shopping as well.,"November 11, 2017",0,0,,5.0,2021-06-18 21:23:57.969801,2021-06-18 21:23:58.063139
Little Italy and More,,"Commercial Drive is a vibrant community commercial and social centre. Originally, the market street in an Italian neighbourhood, many of the delis, restaurants and shops still remain: Joe's coffee and La Grotto Formaggio to name a couple. Overlaid are the new boutiques that serve the newer residents: Barefoot Contessa, Blue Sky Clothing Company and Womyns Ware. As well, there are awesome eateries and drinking scenes: the Havana, Cafe Deux Soleils, and Caffe Roma to name only a few. There's more to explore on foot.","October 11, 2017",0,0,,4.0,2021-06-18 21:23:58.063145,2021-06-18 21:23:58.142776
Bohemian blend,,Commercial Drive has just about any kind of cuisine you can imagine. Tiny restaurants pack each block with the international tastes of the many ethnic groups and nationalities who have come to Vancouver. Lots of small shops and little grocery stores as well as bakeries round out the mix. A fun neighborhood with lots to see and taste.,"October 8, 2017",0,0,,4.0,2021-06-18 21:23:58.142782,2021-06-18 21:23:58.226247
long street,,driveway to this street is very long and have lots of stores and restro bars. It is different street from usual downtown and good to go there.,"September 30, 2017",0,0,,3.0,2021-06-18 21:23:58.226252,2021-06-18 21:23:58.305752
Interesting area away from downtown Vancouver,,"Visited in September for dinner.  About a 15 minute taxi ride from downtown Vancouver.  Lots of dining places, but not too certain the quality of each.  Probably ok in the day, but took a cab at night since no one was walking around any longer.","September 25, 2017",0,0,,3.0,2021-06-18 21:23:58.305758,2021-06-18 21:23:58.391529
Far from the city centre,,"We came here after one our walk, maybe it was because I was tired but I expected a street completely different. The shop were all similar and seamed the same of many decades ago. If it was nearer to the city centre it could grow and evolve with it.","September 16, 2017",0,0,,2.0,2021-06-18 21:23:58.391535,2021-06-18 21:23:58.469538
"A Diverse and ""edgy"" tho' Interesting street.",,"The street stretches about 10 blocks from 3rd to 13th streets.  There are many excellent bars and restaurants [many vegetarian] as well as ""specialist Tobacco Shoppes"".  In addition, there are many superb, large fruit and vegetable shops as well as amazing Bakeries!!  Perhaps more surprising, there are about 6 [or more] ""Medical Marijuana"" shops openly plying their trade!","September 15, 2017",0,0,,4.0,2021-06-18 21:23:58.469544,2021-06-18 21:23:58.554427
Walk - Eat - Drink - Shop!,,"The Drive, in my opinion, is the best street to hang out and enjoy local multi-ethnic flavors. Lots of little shops and boutiques, MANY coffee shops, toy stores, books, high-end vinyl, silver, and of course: FOOD and LIVE MUSIC! Super easy to get to by bus or sky train... lots of awesome AirBnb in the area too! Nice view of downtown Vancouver from the park midway through the Drive. <3","August 28, 2017",0,0,,5.0,2021-06-18 21:23:58.554433,2021-06-18 21:23:58.643852
Not bad,,Lots of stores and places to eat. A little aged and many closed places. There are many other better places to visit in Vancouver,"August 27, 2017",0,0,,3.0,2021-06-18 21:23:58.643858,2021-06-18 21:23:58.722335
the Drive,,"Unique and interesting area, lots of great restaurants and fun things to do, fantastic bars, pubs and parks. Lots of organic food stores and a great community of friendly people.","August 17, 2017",0,0,,5.0,2021-06-18 21:23:58.722341,2021-06-18 21:23:58.800067
Walking Into History,,Always fun to be on Commercial.  You feel like you have steppedinto a Europeon town.  Small shops.  Caffe Calabria is fascinating!There are murals on the walls.  Statues everywhere and a fountain.  The family is so welcoming.,"August 16, 2017",0,0,,5.0,2021-06-18 21:24:11.852787,2021-06-18 21:24:11.952811
The real hippy neighborhood,,"We asked a few people where the chill hippy neighborhood would be and we got different answers... but I think we found int in Commercial Drive.  Lots of fun indie shops, but with a Starbucks thrown in.  Glad to have stumbled  to this end of town!","August 15, 2017",0,0,,5.0,2021-06-18 21:24:11.952817,2021-06-18 21:24:12.036490
Coffee heaven,,"Little Italy at its finest. Coffee shops on every corner, great produce. One of a kind shops. a must stop.","August 9, 2017",0,0,,5.0,2021-06-18 21:24:12.036495,2021-06-18 21:24:12.114504
Great for a long walk,,"Commercial was a surprise! We started in the beginning of the street and went all the way to find out a place to have lunch. We had a hard time choosing, cause everything seemed delicious and welcoming. The street remembers me a older neighborhood with traditional look, but with a diverse culinary for every mood. The whole area is very charming, even if you don't want to eat, is a great place to walk buy. But I promise you, you will want to eat.","July 22, 2017",0,0,,5.0,2021-06-18 21:24:12.114510,2021-06-18 21:24:12.195215
East end slice of life,,"Used be known as Little Italy,  now so much more.Good shopping for food and many ethnic restaurants,  parking can be done off side streets, or the many exorbitantly priced City of Vancouver, meters, gobbling up yer $ til 10 pm 7 days a week.","June 25, 2017",0,0,,4.0,2021-06-18 21:24:12.195223,2021-06-18 21:24:12.276791
Colourful murals and interesting shops and cafes,,When arriving at the Skytrain station turn right to walk along Commercial Drive.  Walking the other way takes you away from the interesting shops,"June 20, 2017",0,0,,4.0,2021-06-18 21:24:12.276797,2021-06-18 21:24:12.355110
Awesome Walking Area With Eclectic Shops & Cafes,,"Commercial Drive Licorice Parlour was one of my stops as well as High Fidelity Salon, the Italian Store, Puff and the Malaysian store.  A great place to nibble, drink, walk and shop.  Take a rest at the beautiful outdoor park or the rec centre.","June 8, 2017",0,0,,4.0,2021-06-18 21:24:12.355117,2021-06-18 21:24:12.449596
Excellent place,,"The Drive is a very good place to people watch, shop, have a coffee or eat out. Very iconic east side place","May 27, 2017",0,0,,4.0,2021-06-18 21:24:12.449602,2021-06-18 21:24:12.529436
walk it,,"Great area to walk and enjoy the many funky shops and eateries. Parking can be a bit of a problem but with a keen eye you can get a spot. The skytrain is at one end of the drive and a short bus or walk will take you into the heart of the area. Many alternative residents live in this area, many homes off the drive old and interesting. People come here to enjoy the east side, shop and not have to be right downtown.","May 25, 2017",0,0,,4.0,2021-06-18 21:24:12.529441,2021-06-18 21:24:12.608178
Restaurants night life smaller than city,,But sort of hippie neighborhood fairly safe nice in summer time bars restaurants record stores use to Italian neighborhood small park high school hockey arena small one indoor swimming all kind of diff culture restaurants pretty nice place in summer time fairly busy accessible from downtown Van buses 2.75 around 30 min from granville street bus commercial drive bus way faster by sky train 15 min get off broad way stop walk north or towards shops more hippie area nice place to eat walk etc day night whatever in summer time,"May 23, 2017",0,0,,3.0,2021-06-18 21:24:12.608183,2021-06-18 21:24:12.687119
Time to Mow this Street Down & Give it a Facelift,,"I get that it's eclectic and artsy fartsy, but there are a lot of crazies on the Drive. I'd like to see a developer take this project on & give it a facelift. Good property- great views. Some of the restaurants are horrible, some are good; some are historic & should remain. I fancy the odd little shop. There are some pretty colourful people hanging around here. Bring your smart phone - you might just see a quasi opera singer & his dog or a gaggle of tattooed trailer trash burning up the drive. Ai ya yai.","May 23, 2017",0,0,,3.0,2021-06-18 21:24:25.164164,2021-06-18 21:24:25.260449
The Drive,,"Home to hippies and people of all shapes,sizes creeds and lifestyles. Come with an open mind, grab a coffee and post up outside and watch. Very laid-back, chill vibe and a lot of people watching to be done on commercial drive.","May 17, 2017",0,0,,5.0,2021-06-18 21:24:25.260455,2021-06-18 21:24:25.338804
Local Italian Neighborhood Experience,,"Commercial Drive is not for everyone but if you like a little adventure you will find some of the best Italian food, bakeries and Ice cream Vancouver has to offer. The food is very inexpensive and you get to enjoy the local hippie crowd. Commercial is a fun walk during the World Cup or for its famous yearly festivel, enjoy.","May 1, 2017",0,0,,4.0,2021-06-18 21:24:25.338810,2021-06-18 21:24:25.417593
