title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
Went to see the Gastown Steamclock,,Went to see the Gastown clock and Walk the street as well as Walking Coal Harbour. Kids though it was pretty cool.,"August 11, 2020",0,0,,5.0,2021-06-18 19:08:52.849706,2021-06-18 19:08:52.950001
A Contrast to the ambiance of Robson Street,,"This area is more quaint and less metropolitan than Robson Street.It is the original settlement that became the core of the creation of Vancouver and is named for ""Gassy"" Jack Deighton, a Yorkshire seaman, steamboat captain and barkeep who arrived in 1867 to open the area's first saloon. He was famous for his habit of talking at length (or ""gassing"").It has distinctive and historic architecture that is a little quaint, the streets are cobblestones and narrower than other areas and this gives it a personable atmosphere. It is a mix of ""hip"" contemporary fashion and interior furnishing boutiques, tourist-oriented businesses (generally restricted to Water Street), restaurants, nightclubs, poverty and newly upscale housing. In addition, there are law firms, architects and other professional offices, as well as computer and internet businesses, art galleries, music and art studios, tattoo parlors, and acting and film schools.","July 30, 2020",0,0,,4.0,2021-06-18 19:08:52.950007,2021-06-18 19:08:53.042171
A Great Walking Tour of Vancouver the Way It Was,,"Tourists should seriously consider spending a few hours in this neighbourhood. It is relatively flat - easy to walk - and close to a major transportation hub. So, leave the car at the hotel, and come enjoy food&drink, history, and souvenir schlock all in one compact area.My recent visit was mainly to see the Covid related murals, near Maple Tree Square, but I ended up spending a fair bit of time enjoying all the other interesting sights Gastown has to offer - Gassy Jack statue and the steam clock to name but two.If I want to walk through a forest, I go to Stanley Park.If I want to walk through Vancouver's history, I go here.","July 17, 2020",0,0,,4.0,2021-06-18 19:08:53.042176,2021-06-18 19:08:53.126054
We felt unsafe - be careful!,,"My sister and 10-month old nephew and I tried to have a wander around Gastown after reading it was one of the top 5 Vancouver sites from a google search. We were sorely disappointed. The cobblestone streets and hanging flower baskets were pretty, but couldn't distract from feeling completely unsafe in the area. We saw (literally) hundreds of homeless people / addicts as we were driving in and on the surrounding streets after we parked and tried to make our way to Water Street. Once we finally made it (treading carefully over all the used needles), the smell of urine and weed on in Gastown did not help our nerves. The steam clock was cool, but not worth the accompanying stress that the whole outing brought.","June 30, 2020",0,0,,1.0,2021-06-18 19:08:53.126059,2021-06-18 19:08:53.208724
Legalize pot,,Evidently in the last 60s there was a protest march to legalize maraguna and some police brutality happenEd. Even though pot is legal there’s still a protest or rally to commemorate this event. Stalled out of a near by restaurant into the fray.  Otherwise it’s a nice neighborhood with lots of Art Deco building s.,"April 25, 2020",0,0,,4.0,2021-06-18 19:08:53.208729,2021-06-18 19:08:53.291542
Gotta Go!,,"No visit to Vancouver would be complete without a visit to Gastown and the Steam Clock!  It's a really fun way to spend a little bit of time strolling the streets, maybe stopping in for a bite to eat, and posing for some fun photos!  Must","April 1, 2020",0,0,,4.0,2021-06-18 19:08:53.291547,2021-06-18 19:08:53.377612
See the history of Vancouver City from this perspective,,"See the history of Vancouver City from this perspective - cobble stone streets, steam clock and lots of tourist type places.  The area is a great place to visit but also harbours a lot of street people and homeless folks.  Most just need a 'hello' but I've seen several who are aggressive.  Next: see Granville Island and Kits Beach!","March 22, 2020",0,0,,4.0,2021-06-18 19:08:53.377618,2021-06-18 19:08:53.457176
Great area to visit,,"Great area to visit , the gas clock is a must , we visited the Spaghetti Factory four times in a week, the food and atmosphere was lovely, felt very safe in the area","March 15, 2020",0,0,,5.0,2021-06-18 19:08:53.457182,2021-06-18 19:08:53.541252
Fun Safe plenty to drink,,We visited after the Rugby and had a great time!  The area is full of bars and restaurants.  Loved the ambiance with the street lights and trees with light bulbs.  Felt very safe the whole time.  We hit 3 bars and loved them all.  Lots of foot traffic and just a wonderful area of the city.,"March 8, 2020",0,0,,5.0,2021-06-18 19:08:53.541259,2021-06-18 19:08:53.625711
Good nightlife scene,,Very cool part of town. Lots of activity with trendy bars and restaurants.  This neighborhood and Yaletown are where to go at night.,"March 8, 2020",0,0,,5.0,2021-06-18 19:08:53.625718,2021-06-18 19:08:53.707200
Lots of tourists shops and places to eat,,The steam powered clock is a must see.  There are plenty of great places to eat and drink in gas town.  You can also stock up on plenty of Canada souvenirs as there are souvenir shops galore!,"March 5, 2020",0,0,,5.0,2021-06-18 19:09:03.959168,2021-06-18 19:09:04.059969
Beautiful part of town,,"Gastown is the historical part of town. It is great to stroll around, check out the houses and shops","February 23, 2020",0,0,,5.0,2021-06-18 19:09:04.059975,2021-06-18 19:09:04.146178
Pleasant area,,"Pleasant area with a range of shops, bars and eateries. Plenty of choices so a nice, relaxing area to walk around and the obligatory visit to see the steam clock.","February 23, 2020",0,0,,4.0,2021-06-18 19:09:04.146183,2021-06-18 19:09:04.228476
It's a nice place,,It's nice place but a bit crowded. The smell of weed is everywhere. The atmosphere is nice. Easy access when you are downtown.,"February 23, 2020",0,0,,3.0,2021-06-18 19:09:04.228481,2021-06-18 19:09:04.313095
Great fun,,"Bars, caffe’s and restaurants, great fun. Souvenir shops for great gifts. We spent a good couple of afternoons, early evenings just walking around, stopping to eat and drink.","February 16, 2020",0,0,,5.0,2021-06-18 19:09:04.313101,2021-06-18 19:09:04.396308
Plenty to see and do...,,"I very much enjoyed exploring this area. From interesting architecture to shopping and food, there are a number of unique things to both see and do for a visitor. Sight seeing and eating are must in this sort of “old town” portion of Vancouver.","February 16, 2020",0,0,,4.0,2021-06-18 19:09:04.396314,2021-06-18 19:09:04.477811
Worth a bimble,,Pleasant architecture with the steam clock etc.We found a nice cafe for breakfast and enjoyed the ambiance.,"February 16, 2020",0,0,,4.0,2021-06-18 19:09:04.477816,2021-06-18 19:09:04.564533
Dine around,,Was here for a conference and we did a dine around of three restaurants in Gastown. Plenty of restaurants to please everyone,"February 13, 2020",0,0,,5.0,2021-06-18 19:09:04.564538,2021-06-18 19:09:04.645951
The Original Vancouver,,"Gastown is Vancouver’s most historic district and neighbourhood and was finally designated a National Historic Site of Canada in 2009. Named after John “Gassy Jack” Deighton, this area of Vancouver is unique for its ability to maintain its historic charm while concomitantly looking forward towards the future. In other words, Gastown is able to provide a near-perfect synthesis of the old and new: Victorian and Edwardian-era architecture meets contemporary and chic boutiques, shops and restaurants. Because of this, any visit to Vancouver would ultimately be incomplete without some time spent in and around Gastown. It is home to some of the best the city has to offer, and it does all of this in a truly unique – attractive – environment.History is perhaps one of the primary reasons one might have for an initial visit to Gastown; and, believe me, this area has plenty of it. Established in and around 1867, when John Deighton sought to open a saloon (and did so within 24 hours!), Gastown very quickly became the fledgling city’s trading, commerce, cultural and social hub. Because of its proximity to the waterfront, Gastown proved to be an ideal location for business to take root. With the influx of workers to the area, many a hotel, eatery and pub popped up, creating what I’m sure was an interesting cultural mosaic of sorts. In this respect, one could argue that the area essentially functioned as Vancouver’s original downtown core.In fact, it was exactly because of all the hustle and bustle that Vancouver city council held their first official meeting in Gastown, specifically Maple Tree Square (see my earlier review on this site), following incorporation in 1886. Unfortunately, most of the original Gastown burned to the ground barely two months later in what has been dubbed the Great Fire of 1886. Not to be dissuaded, though, Gastown was very quickly rebuilt and, today, the majority of the buildings that stand in this neighbourhood date from 1886 to 1914, giving us a beautiful historic window into the past. For those particularly keen on architecture and style, Gastown is rife with buildings reflective of the Victorian and Edwardian period, right down to the 100+ year-old lampposts that line the streets. If one is on a limited schedule, however, I would recommend visiting the Waterfront Station (technically on Gastown’s border on Cordova), seeing the Byrnes Block building (built 1886) and viewing the Hotel Europe (built 1909). Each of these architectural gems have their own tales and help to give Gastown its historical character.Beyond the historical aspect, Gastown has become a cultural and foodie hub since its initial revitalization in the late 1970s and 1980s. For at least the last two decades, many an eatery and resturanteur – casual and formal – has set up shop in Vancouver’s most historic neighbourhood. Of note: L’Abattoir, Bauhaus, Birds and the Beets, Coquille, The Flying Pig, Meat and Bread, Old Spaghetti Factory, Pidgin and Tacofino. It’s such a shame that the Crab Park Chowdery went the way of the dodo last year as their “chowder” options nicely complemented the rest of Gastown’s foodie options. Regardless, whether you’re looking for a romantic night out, or just a casual bite and drink, Gastown has more than enough to offer. For my money, the Old Spaghetti Factory is top notch and, in its own way, highlights some of Gastown’s attractive character (see my earlier review on this site). Regardless of where you choose to go, though, all of these establishments are housed within the historic brick and timber buildings of the area.Gastown is also home to some of the Vancouver area’s best shopping. With its fine and fair mix of the traditional touristy shops, independent fashion boutiques and First Peoples art galleries, you’ll be sure to find something worthy to take home for friends and family. I mean, who wouldn’t want some maple syrup or, more importantly, a miniature version of Gastown’s famed Steam Clock? In all seriousness, there is some good shopping to be had here, including the flagship Fleuvog store.At day’s end, what you decide to do in Gastown and how long you stay in the area is entirely up to you. It’s Vancouver’s oldest neighbourhood; it’s full of vintage structures that call back to an earlier time; it’s also shockingly modern in taste and appeal; and there’s plenty to do for tourists of every stripe. Just want to visit the Steam Clock and Maple Tree Square for a quick selfie with Gassy Jack? That’s fine. Want to patronize some restaurants and boutique stores? You can do that, too! Want to spend more time in the neighbourhood, take a “Lost Souls of Gastown Tour” and learn about its unique ghost lore? Awesome! There’s just no shortage of things to do and it is for that reason that Gastown is a “must visit” when in Vancouver.​","February 12, 2020",0,0,,5.0,2021-06-18 19:09:04.645956,2021-06-18 19:09:04.728780
Wear your walking shoes,,"Gastown is one funky place. Cobblestone streets, secret basement nightclubs, back alley restaurants, dive bars, high end shopping. This tiny neighbourhood has it all. And it’s family friendly. There is always something to do. Watch and listen to the steam clock sing every quarter hour. Painters and sketchers on street corners. Metal artistry selling the Van City skyline. Don’t be afraid of the homeless population- most are very nice and keep to themselves.","February 4, 2020",0,0,,5.0,2021-06-18 19:09:04.728785,2021-06-18 19:09:04.811141
A “Must Not Miss” on your to do list!!!,,"I wish there were blocks and blocks and even more blocks where one could wander around Gastown!  You feel like you’ve stepped back in time...back in time to where ladies wore long dresses and men were, well, let’s just say they were gentlemen!  See the World famous steam clock, go visit the ghost who purportedly resides in the Old Spaghetti Factory (ask some of the long term staff about him), and just wander around and enjoy the cobbled streets and the beautiful architecture!  A real beauty in a bustling city...","February 3, 2020",0,0,,5.0,2021-06-18 19:09:15.925518,2021-06-18 19:09:16.006204
Stay away from Gastown,,"We had some friends in town and one of the places they wanted to go was Gastown. As a resident of Vancouver we haven'r been to Gastown in years and apparently we haven't been missing anything.Sure the street has some architectural charm and nice restaurants however it is overrun with bums and druggies and vagrants. Why aren't the cops doing their job?We were constantly being asked for money and having to run a gauntlet of bums was annoying. I wouldn't want to walk this street as a female or after dark as it feels quite unsafe.Oh yeah, there is also an abundance of tourist trap junk shops selling ""souvenirs"" to the tourists.Do yourself a favor and stay away from Gastown until it gets cleaned up.","January 30, 2020",0,0,,2.0,2021-06-18 19:09:16.006211,2021-06-18 19:09:16.085045
Gastown,,"Love the architectural designs and age period of the buildings and speciality shops in the Gastown area, which is accessible by the hop on hop off bus tours from Canada Place and the steam clock is impressive.","January 29, 2020",0,0,,5.0,2021-06-18 19:09:16.085050,2021-06-18 19:09:16.164795
Old Vancouver before the sky scrapers,,"Worth a visit, old colonial buildings, now mostly restaurants and art galleries, and the World famous steam clock.","January 26, 2020",0,0,,4.0,2021-06-18 19:09:16.164801,2021-06-18 19:09:16.243830
Some good shops emerging ...,,.. but still many tacky tourist shops. Some newcomers have brought relief to this including some independent cafes. Still nice area to wander around on the cobbled street.,"January 22, 2020",0,0,,4.0,2021-06-18 19:09:16.243835,2021-06-18 19:09:16.323762
Great place to have lunch and a couple of drinks.,,"Pretty nice vibe in the neighborhood, a fantastic place to go for a mid-range to luxury meal and have a couple of drinks afterwards, just steer away from Cordova st (2 blocks away) since it's a street that is packed with people shooting drugs and homeless individuals.","January 13, 2020",0,0,,4.0,2021-06-18 19:09:16.323767,2021-06-18 19:09:16.405422
"A must to walk, shop and dine!",,"Found this area while driving in the rain. What a gem! Eric, owner is a great fisherman. Richard has a cool hotdogs business and the shops are an extensive selection of goods worthy of purchase!","January 12, 2020",0,0,,5.0,2021-06-18 19:09:16.405427,2021-06-18 19:09:16.483350
Great place to eat and shop,,This area runs close to the waterfront near the harbour. Lots of restaurants and a number of shops. Some quite trendy and expensive but also lots of souvenir shops too.There is also a steam powered clock! Good place to go for an evening meal and a few drinks.,"January 11, 2020",0,0,,4.0,2021-06-18 19:09:16.483355,2021-06-18 19:09:16.561612
Historic Trendy Area,,"Great area well worth a look.  Lots of up market cafes, shops, cobble stone streets and a really cool steam clock","January 10, 2020",0,0,,5.0,2021-06-18 19:09:16.561618,2021-06-18 19:09:16.642952
Beautiful part of the city worth visiting,,"Definitely worth a visit for the architecture if not just for the clock. There are some beautiful old buildings in the precinct and some have been done up beautifully inside. Loads of souvenir shops, eateries and bars to take your pick from. Only a short walk for most downtown hotels, Gastown is a great way to spend a few hours exploring.","January 6, 2020",0,0,,4.0,2021-06-18 19:09:16.642957,2021-06-18 19:09:16.722532
Gastown Vancouver,,Not sure if I would recommend visiting this end of town very sketchy and not a lot to see other than the Steam Clock,"January 4, 2020",0,0,,2.0,2021-06-18 19:09:24.795068,2021-06-18 19:09:24.888721
Just checkout the steam clock and go!,,"Gastown, if you're a tourist like me, is really just about seeing the steam clock. Other than that, you'll see plenty of souvenir shops, couple of other shops (Herschel is there btw), and that's it. There's one coffee shop that is really good (forgot the name) so it's worth a try. Other than that, there are other places around town to go to. :)","January 2, 2020",0,0,,3.0,2021-06-18 19:09:24.888727,2021-06-18 19:09:24.975024
Gastown Vancouver,,"Gastown is a great area of Vancouver if you like craft shops, art galleries and local goods. The whole area is set up for visitors alike, from cafes,restaurants and bars catering for all tastes, tip check out the steam clock in gastown it’s very unique","December 31, 2019",0,0,,5.0,2021-06-18 19:09:24.975030,2021-06-18 19:09:25.055289
Out & About Boutique - We like it!,,"My husband and I visited Out & about Shop at 321 West Cordova Street, Gastown, Vancouver B.C. on Boxing Day 2019. It was a good experience to us. We like the setting and design of this boutique. Goods are displayed nicely and attractively. The shop owner - Sheila - is nice and friendly. She invited us to go downstairs and there we found lot more fahsionable items. It is a must to visit Out & about Boutique if you have a chance going to Gastown in all seasons.","December 28, 2019",0,0,,5.0,2021-06-18 19:09:25.055294,2021-06-18 19:09:25.140223
Good spot for souvenirs,,This is an old part of Vancouver that is fun to explore. Lots of souvenir shops with competitive pricing. The steam clock is a great photo op and super interesting to see.,"December 27, 2019",0,0,,4.0,2021-06-18 19:09:25.140228,2021-06-18 19:09:25.224632
Good Old Vancouver.,,"We walked in to Gastown from the Waterfront Station to have a look at the Steam Clock. It is fascinating to watch when it blows it’s whistle and sounds like a hissing Big Ben. We had to wait for some time before it blew so we had a small walk around Gastown.Gastown is one of the first settlements which gave rise to the city of Vancouver around the 1860s. Since then it has metamorphosed a number of times from a centre for trade and commerce to an area of warehouses to load logs and timber. Later it became the centre for the city’s wholesale produce distribution, and also the centre of the city’s drinking life. After the depression the area went into decline and came to be known as the Skid Row. After the 1970s Gastown has been slowly rehabilitated and now has a number of respectable businesses like fashion and interior décor boutiques, restaurants, nightclubs, bars as well as professional offices of law firms, architects and computer firms, music and art studios and film and acting schools, and a few art galleries. Of course, there are still some areas in Gastown where we saw some destitute people begging or just hanging around the streets. It is best to avoid these areas after late evening.We enjoyed our short walk and had a good look at some of the old heritage buildings lining the cobbled sidewalks. We then came back to see the most important tourist landmark of Gastown, the Steam Clock doing it’s hourly job.","December 25, 2019",0,0,,4.0,2021-06-18 19:09:25.224637,2021-06-18 19:09:25.309973
eclectic mix of upscale and inexpensive,,its the go to street for tourists for sure tour buses everywhere.  some interesting restaurants to try and lots of shopping abounds,"December 24, 2019",0,0,,4.0,2021-06-18 19:09:25.309980,2021-06-18 19:09:25.394247
Vancouvers equivalent to Sydney’s Rocks Area,,Lots of fabulous food choices with restaurants offering up market down to cheap pub food or Tacos. Atmosphere gave a real vibe & sense we were in VAN.,"December 22, 2019",0,0,,5.0,2021-06-18 19:09:25.394252,2021-06-18 19:09:25.491419
Neat place,,We had some great meals here and stayed at a really amazing hotel but the place is really overrun with homeless and drug addicts.  It is an interesting cultural introspective if you can see it as a commentary on humanity and not get grossed out by the syringes and alcohol swabs on the sidewalk.  I love the art and culture seeping up through the cracks in this historic place.  See it for its beauty and you will have a great experience.,"December 22, 2019",0,0,,4.0,2021-06-18 19:09:25.491424,2021-06-18 19:09:25.581959
Awesome steam clock,,"The seeds of Vancouver were planted here. The city slow sprang from the first settlement in this area. It has been cleaned up over the years, and not as seedy as it was about 40 years ago. Lots of bars, eateries, and cafes in the area. It is a tourist and sightseers haven.","December 19, 2019",0,0,,4.0,2021-06-18 19:09:25.581965,2021-06-18 19:09:25.674082
Walking thru the Old VanCity,,"Enjoying the walk with my wife, visiting the Old Can City along Gas-town, picture taking with the Famous Steam Clock while enjoying the old city ambience of Rain city","December 16, 2019",0,0,,4.0,2021-06-18 19:09:35.825577,2021-06-18 19:09:35.912825
Great vibe,,Gastown feels like a whole other place in Vancouver. We really enjoyed spending time there. Cool cafes and shops. The steam clock was entertaining.,"December 14, 2019",0,0,,5.0,2021-06-18 19:09:35.912831,2021-06-18 19:09:35.990124
Gastown has something for everyone,,"Gastown has something for everyone with many restaurants, stores, and bars. It has the famous steam clock and Gassy Bill.  I would be careful where you walk at night but during the day felt extremely safe.","December 10, 2019",0,0,,4.0,2021-06-18 19:09:35.990130,2021-06-18 19:09:36.067692
Picturesque area of Vancouver,,"A place to walk... Several streets lined with shops of various kinds, including native aboriginal art, gift shops, clothing stores, and restaurants/coffee shops of various kinds.  Very near the cruise ship terminal.  Walk from there.    You can easily spend 3-4 hours there.","December 10, 2019",0,0,,5.0,2021-06-18 19:09:36.067697,2021-06-18 19:09:36.147663
A good place to stroll and shop,,"I don't know how to describe the place but one thing for sure was, my stay in Vancouver was super wonderful. Having strolled the streets in Gastown made me feel to have the urge of coming back to this place one day. It's like the quieter New York with vibes of Melbourne.","December 9, 2019",0,0,,4.0,2021-06-18 19:09:36.147668,2021-06-18 19:09:36.235105
Great time. Lots of shopping if you want.,,"Great part of town.Only downside is if you have a car, the PARKING is very expensive. $24 For 4 hours.Next trip, I think I will Uber to the area and skip the parking lot","December 8, 2019",0,0,,5.0,2021-06-18 19:09:36.235113,2021-06-18 19:09:36.316821
Nice to wander But ok to shop,,"Gastown has cool things like old brick buildings, scenic views, the steam clock, cobble stone streets and some interesting venues. Too many souvenir shops and a lot fewer independent artsy shops that used to be there. Many that are high in prices. Great to walk for the flavour of the old city but not the best for shopping.","December 7, 2019",0,0,,3.0,2021-06-18 19:09:36.316827,2021-06-18 19:09:36.395689
"Not safe, no police presence",,"Too many beggers, homeless people sleeping on the sidewalks, harressing tourists. City of Vancouver collects lots of taxes but don't care about tourists or its citizen. You don't feel safe in the area. More police presence or clean up your city.","December 5, 2019",0,0,,1.0,2021-06-18 19:09:36.395694,2021-06-18 19:09:36.476025
Great area,,"Gas town gives of that real historic feel.  The area is full of great little shops, amazing architecture and sights.  We loved it that much we will be back.","November 30, 2019",0,0,,5.0,2021-06-18 19:09:36.476030,2021-06-18 19:09:36.555172
Romantic Neighborhood,,"Love this place! There are few restaurants and bars located in this area. The side walk (pavements) are wide and are made of red-bricks, producing romantic nuance. The icons of the area are the steam clock (that make sounds every 15 minutes) and the Gassy Jack statue. If you have very limited time, skip the Gassy Jack statue, it is rusty and doesn't look really pretty.","November 27, 2019",0,0,,4.0,2021-06-18 19:09:36.555178,2021-06-18 19:09:36.635536
Old city,,"The area stretches along the coast, there are a large number of attractions - Gassy Jack, Steam Clock, etc. Here it is interesting to walk day and evening.","November 25, 2019",0,0,,5.0,2021-06-18 19:09:47.013844,2021-06-18 19:09:47.121512
Best Area in Vancouver,,"There are of course many fastastic areas to see in Vancouver which we visted for the first time for 5 nights from October 12. We always seemed to end up back up Gastown at night before heading back to the hotel. Great bars, Great Food and a really good coffee shop just at the entrance to a little group of shops, - on other side of the street passed the Steam Clock - yes good place to go","November 25, 2019",0,0,,5.0,2021-06-18 19:09:47.121517,2021-06-18 19:09:47.226011
Get A Flavor of Vancouver Here...,,"There are lots of good restaurants, the steam clock, souvenir shops - the olympic cauldron is just a few blocks away also... The surrounding area is the business district - there is also a growing homeless population but they are not a bother to anyone.","November 24, 2019",0,0,,4.0,2021-06-18 19:09:47.226017,2021-06-18 19:09:47.316442
Don’t miss this spot,,"Can anyone visit Vancouver and miss this area? No way!!!Specially at night, you should just walk, enjoy the atmosphere and beautiful lights. It seems like walking in a live movie to me!","November 21, 2019",0,0,,5.0,2021-06-18 19:09:47.316448,2021-06-18 19:09:47.403983
The oldest area in Vancouver,,"Classic old town with cobble stone streets and unique, historical buildings. The area has a lot of fashion boutiques, restaurants and usual tourist shops. But Gastown is very close to downtown Eastside/ East Hastings street. This is an area of extreme deprivation, homelessness and open drug use on the street. It is easy for tourist to accidentally wonder into this area, be aware of where you are.","November 21, 2019",0,0,,4.0,2021-06-18 19:09:47.403988,2021-06-18 19:09:47.499722
unique architecture and history,,"Gastown is a charming area in Vancouver with culture & live performances. Quite a few bars and restaurants. Several art galleries, shops, boutiques. Main tourist attractions, other than the unique architecture and history, is the old Steam Clock blows steam & plays music and the statue of Gassy Jack. The OK Boot Corral is a great shop adjacent to the Gassy Jack statue.A very interesting place to visit","November 14, 2019",0,0,,4.0,2021-06-18 19:09:47.499728,2021-06-18 19:09:47.595766
Europe in Vancouver,,"It is a cute part of Vancouver that look like Europe. Lots of bars and good restaurants, i love walking around Gastown!","November 12, 2019",0,0,,4.0,2021-06-18 19:09:47.595772,2021-06-18 19:09:47.688124
intersting part of the refurbish Old town in the modern city,,"Lot of good gift shops and nice Restaurant along the street. can grap some pizze for quick bite or Ice cream along the street easily accessible by the Subway.  A good place to grab your take home gift for your friends, family and love one. to me its a a must go place in Vancouver.","November 6, 2019",0,0,,4.0,2021-06-18 19:09:47.688130,2021-06-18 19:09:47.785155
Really nice Tourist attraction,,Very pleasant area to walk and shop. The Steam clock is amazing. We took several pictures but it took a while to get a clear shot.,"November 6, 2019",0,0,,4.0,2021-06-18 19:09:47.785161,2021-06-18 19:09:47.879955
Nice Walk for Shops & Restaurants,,Full of shops & restaurants/bars. Highly recommend Steamworks Brewery for families or friends & Peckinpah for BBQ. Steamworks Clock blows steam & music at 6pm & Gassy Jack statue is right in the centre.,"November 3, 2019",0,0,,4.0,2021-06-18 19:09:47.879962,2021-06-18 19:09:47.975441
Pleasant place to visit,,"Gastown was very similar to what I was expecting as per the reviews but it was still nice to visit. It had and old fashioned charm to it, and the steam clock was fun to experience. Overall it is a nice place to walk around, it is full of quaint restaurants, bars and cafes. The decorative lights that were on display in January too were a nice touch, I am unsure if they are out year round","November 3, 2019",0,0,,4.0,2021-06-18 19:09:56.059031,2021-06-18 19:09:56.146307
Unique Beautiful Neighborhood.,,"Gastown is a charming area in Vancouver with its unique features like it's architecture, culture & live performances. Quite a few bars and restaurants. Art galleries, shops, boutiques. A very interesting place to visit.","November 3, 2019",0,0,,4.0,2021-06-18 19:09:56.146312,2021-06-18 19:09:56.229569
Fun to walk around and stroll,,Nice place to take a stroll and walk around in Vancouver. Its a few minutes from the port is a good place to spend a few hours when in vancouver.,"November 2, 2019",0,0,,4.0,2021-06-18 19:09:56.229575,2021-06-18 19:09:56.489203
Did we miss the attraction?,,"We had read and seen reports that Gastown was a must see. Unfortunately our visit did not fill us with glee. Yes, you may get a sense of the original Vancouver; street layout, buildings etc, however the negatives far outweigh any positives. This is a small area, before you know it you've stumbled into some run down back street. In the main area tourists are falling over each other as they crowd the attractions. The number of overpriced tacky souvenir shops is shocking.","November 2, 2019",0,0,,2.0,2021-06-18 19:09:56.489211,2021-06-18 19:09:56.625717
Must’ve visited at the wrong time,,Was excited to see gas town per reviews on here. Apart from the steam clock I was confused as to what the fuss is about. Maybe I visited too early in the day and the was missing the ‘vibe’ of it all.Out of all the places I visited in Vancouver this is where I come across most of the homeless approaching us for money.,"November 1, 2019",0,0,,2.0,2021-06-18 19:09:56.625724,2021-06-18 19:09:56.735737
Amazing Vancouver,,"My husband and I visited Vancouver in September, Gastown was the first place we had a look around, it was really lovely, the trees were all lit up of a night, lots of great restaurants and you felt very safe walking around the place of an evening.  We had an incredible meal at a restaurant called The Old Spaghetti factory, they had an old caboose inside the restaurant which had been restored and used as a dining room.  There is a ghost story associated with this restaurant, which you can find out about there.","November 1, 2019",0,0,,5.0,2021-06-18 19:09:56.735743,2021-06-18 19:09:56.819293
Good old style architecture,,Main attraction is the steam clock.its nice.we walked roughly whole of the gastown area.the architecture is very appealing. Lots of eateries are there.Loved the place,"October 30, 2019",0,0,,5.0,2021-06-18 19:09:56.819299,2021-06-18 19:09:56.904041
Cool,,"We just drove through it on a city tour and it looked like a great place to walk around, tons of history here. Our tour guide told us the street is run off steam and there is a steam clock in the center that’s really cool","October 28, 2019",0,0,,4.0,2021-06-18 19:09:56.904046,2021-06-18 19:09:56.990971
